UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701627143561541328,181223.69,A,5224.917108,N,00942.087781,E,7.796,128.79,031223,3.82,E
1701627143661063115,181223.79,A,5224.916973,N,00942.088055,E,7.666,129.04,031223,3.82,E
1701627143761894790,181223.89,A,5224.916864,N,00942.088292,E,7.511,129.09,031223,3.82,E
1701627143861775937,181223.99,A,5224.916734,N,00942.088555,E,7.384,129.24,031223,3.82,E
1701627143961528749,181224.09,A,5224.916605,N,00942.088813,E,7.256,129.44,031223,3.82,E
1701627144061246662,181224.19,A,5224.916496,N,00942.089034,E,7.081,129.64,031223,3.82,E
1701627144160987569,181224.29,A,5224.916372,N,00942.089280,E,6.913,129.73,031223,3.82,E
1701627144261814784,181224.39,A,5224.916253,N,00942.089480,E,6.750,130.10,031223,3.82,E
1701627144361865964,181224.49,A,5224.916133,N,00942.089711,E,6.588,130.37,031223,3.82,E
1701627144461293698,181224.59,A,5224.916016,N,00942.089937,E,6.435,130.35,031223,3.82,E
1701627144561521207,181224.69,A,5224.915913,N,00942.090127,E,6.282,130.70,031223,3.82,E
1701627144661244399,181224.79,A,5224.915800,N,00942.090341,E,6.148,131.13,031223,3.82,E
1701627144761798326,181224.89,A,5224.915696,N,00942.090511,E,5.991,131.29,031223,3.82,E
1701627144861724135,181224.99,A,5224.915587,N,00942.090713,E,5.850,131.40,031223,3.82,E
1701627144961678546,181225.09,A,5224.915481,N,00942.090910,E,5.706,131.62,031223,3.82,E
1701627145061530442,181225.19,A,5224.915384,N,00942.091066,E,5.546,131.96,031223,3.82,E
1701627145160948569,181225.29,A,5224.915282,N,00942.091252,E,5.408,132.04,031223,3.82,E
1701627145262038854,181225.39,A,5224.915197,N,00942.091401,E,5.293,132.35,031223,3.82,E
1701627145361879495,181225.49,A,5224.915098,N,00942.091577,E,5.239,132.53,031223,3.82,E
1701627145461387910,181225.59,A,5224.915000,N,00942.091752,E,5.190,132.73,031223,3.82,E
1701627145561629023,181225.69,A,5224.914914,N,00942.091871,E,5.115,133.04,031223,3.82,E
1701627145661197612,181225.79,A,5224.914818,N,00942.092040,E,5.060,133.34,031223,3.82,E
1701627145761771513,181225.89,A,5224.914735,N,00942.092167,E,4.983,133.60,031223,3.82,E
1701627145861481921,181225.99,A,5224.914640,N,00942.092330,E,4.922,133.84,031223,3.82,E
1701627145961307960,181226.09,A,5224.914546,N,00942.092491,E,4.865,133.90,031223,3.82,E
1701627146061831277,181226.19,A,5224.914473,N,00942.092621,E,4.789,134.16,031223,3.82,E
1701627146161000587,181226.29,A,5224.914380,N,00942.092776,E,4.750,134.56,031223,3.82,E
1701627146261579583,181226.39,A,5224.914310,N,00942.092894,E,4.701,134.73,031223,3.82,E
1701627146361785227,181226.49,A,5224.914218,N,00942.093045,E,4.676,134.73,031223,3.82,E
1701627146461325362,181226.59,A,5224.914127,N,00942.093196,E,4.649,134.88,031223,3.82,E
1701627146561687745,181226.69,A,5224.914047,N,00942.093308,E,4.608,135.35,031223,3.82,E
1701627146661642515,181226.79,A,5224.913956,N,00942.093454,E,4.583,135.46,031223,3.82,E
1701627146761900413,181226.89,A,5224.913882,N,00942.093565,E,4.534,135.71,031223,3.82,E
1701627146861764563,181226.99,A,5224.913792,N,00942.093708,E,4.508,135.98,031223,3.82,E
1701627146961654746,181227.09,A,5224.913702,N,00942.093850,E,4.481,136.17,031223,3.82,E
1701627147061563079,181227.19,A,5224.913631,N,00942.093960,E,4.430,136.39,031223,3.82,E
1701627147161575062,181227.29,A,5224.913542,N,00942.094098,E,4.399,136.66,031223,3.82,E
1701627147261857950,181227.39,A,5224.913470,N,00942.094207,E,4.351,137.01,031223,3.82,E
1701627147361700864,181227.49,A,5224.913382,N,00942.094341,E,4.320,137.14,031223,3.82,E
1701627147461683201,181227.59,A,5224.913294,N,00942.094474,E,4.289,137.13,031223,3.82,E
1701627147561126074,181227.69,A,5224.913222,N,00942.094579,E,4.247,137.11,031223,3.82,E
1701627147661817868,181227.79,A,5224.913136,N,00942.094710,E,4.216,137.31,031223,3.82,E
1701627147761879920,181227.89,A,5224.913070,N,00942.094818,E,4.163,137.54,031223,3.82,E
1701627147861684193,181227.99,A,5224.912985,N,00942.094945,E,4.133,137.81,031223,3.82,E
1701627147961276907,181228.09,A,5224.912900,N,00942.095070,E,4.102,137.93,031223,3.82,E
1701627148061361529,181228.19,A,5224.912828,N,00942.095172,E,4.063,138.04,031223,3.82,E
1701627148162089533,181228.29,A,5224.912744,N,00942.095295,E,4.034,138.25,031223,3.82,E
1701627148261549152,181228.39,A,5224.912678,N,00942.095392,E,3.987,138.27,031223,3.82,E
1701627148361792771,181228.49,A,5224.912595,N,00942.095512,E,3.953,138.56,031223,3.82,E
1701627148461289847,181228.59,A,5224.912513,N,00942.095630,E,3.916,138.78,031223,3.82,E
1701627148561312032,181228.69,A,5224.912449,N,00942.095729,E,3.867,138.92,031223,3.82,E
1701627148661699234,181228.79,A,5224.912368,N,00942.095843,E,3.824,139.22,031223,3.82,E
1701627148761779854,181228.89,A,5224.912300,N,00942.095936,E,3.779,139.33,031223,3.82,E
1701627148861832698,181228.99,A,5224.912221,N,00942.096048,E,3.755,139.34,031223,3.82,E
1701627148961701238,181229.09,A,5224.912142,N,00942.096159,E,3.738,139.50,031223,3.82,E
1701627149061244387,181229.19,A,5224.912079,N,00942.096248,E,3.706,139.81,031223,3.82,E
1701627149161536707,181229.29,A,5224.912000,N,00942.096357,E,3.691,139.93,031223,3.82,E
1701627149261856915,181229.39,A,5224.911939,N,00942.096447,E,3.659,139.86,031223,3.82,E
1701627149361685354,181229.49,A,5224.911862,N,00942.096554,E,3.638,140.11,031223,3.82,E
1701627149461602095,181229.59,A,5224.911784,N,00942.096660,E,3.620,140.11,031223,3.82,E
1701627149561314346,181229.69,A,5224.911724,N,00942.096753,E,3.588,140.09,031223,3.82,E
1701627149661552607,181229.79,A,5224.911648,N,00942.096858,E,3.568,140.13,031223,3.82,E
1701627149761762953,181229.89,A,5224.911591,N,00942.096949,E,3.535,140.10,031223,3.82,E
1701627149861376394,181229.99,A,5224.911516,N,00942.097051,E,3.505,140.20,031223,3.82,E
1701627149961875441,181230.09,A,5224.911441,N,00942.097153,E,3.485,140.04,031223,3.82,E
1701627150061383716,181230.19,A,5224.911382,N,00942.097243,E,3.458,140.25,031223,3.82,E
1701627150161980490,181230.29,A,5224.911309,N,00942.097343,E,3.443,140.31,031223,3.82,E
1701627150261292848,181230.39,A,5224.911256,N,00942.097435,E,3.412,140.26,031223,3.82,E
1701627150361595729,181230.49,A,5224.911183,N,00942.097534,E,3.395,140.25,031223,3.82,E
1701627150461656161,181230.59,A,5224.911111,N,00942.097633,E,3.375,140.15,031223,3.82,E
1701627150561661404,181230.69,A,5224.911053,N,00942.097719,E,3.343,140.16,031223,3.82,E
1701627150661513271,181230.79,A,5224.910982,N,00942.097816,E,3.321,140.37,031223,3.82,E
1701627150761707201,181230.89,A,5224.910923,N,00942.097905,E,3.296,140.31,031223,3.82,E
