UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701189705883357036,-1.0461,-0.2359,11.2915,0.0062,0.0202,-0.0011
1701189705983292670,-1.1287,0.2285,6.1862,0.0244,0.0055,-0.0047
1701189706083396792,-0.4567,-0.2286,12.7725,0.0705,-0.0033,-0.0071
1701189706183297327,-0.7861,1.1826,5.0955,0.0172,0.0104,-0.0053
1701189706283303715,-1.0250,-0.1878,11.8217,0.0056,0.0108,-0.0017
1701189706383315373,-1.1718,0.3628,9.3544,-0.0099,-0.0118,-0.0029
1701189706483309102,-1.1314,-0.1935,9.6997,0.0010,-0.0020,-0.0036
1701189706584357268,-1.1539,0.1960,11.1378,-0.0010,0.0157,0.0011
1701189706683453000,-1.2341,0.3618,8.0641,0.0010,0.0105,-0.0031
1701189706783417357,-1.2702,0.1843,10.6069,0.0073,0.0108,-0.0074
1701189706883481053,-1.1316,-0.2283,10.1139,0.0016,-0.0046,0.0047
1701189706983403897,-1.0214,0.1599,9.8977,0.0072,0.0026,0.0062
1701189707083406488,-1.1394,0.4127,10.6149,-0.0087,0.0042,-0.0003
1701189707183346837,-1.1553,0.3731,8.4012,0.0023,0.0073,-0.0022
1701189707283501201,-1.0447,-0.2171,10.6846,-0.0305,0.0124,0.0018
1701189707383359968,-0.9380,0.2359,9.3566,0.0013,-0.0035,0.0013
1701189707483388166,-0.6369,0.2470,10.4575,-0.0053,0.0037,0.0009
1701189707583346481,-0.9729,-0.0055,10.8169,0.0320,-0.0073,-0.0002
1701189707683303126,-0.8364,0.2218,9.6170,0.0221,-0.0229,-0.0054
1701189707783324341,-0.8430,0.4531,10.9334,0.0113,-0.0190,-0.0062
1701189707883299160,-0.6216,0.1133,8.9164,0.0019,-0.0039,0.0033
1701189707983297979,-0.8438,0.2663,9.9179,-0.0017,0.0024,0.0004
1701189708083303866,-0.7868,0.1748,9.3990,0.0071,0.0002,-0.0075
1701189708183303851,-0.8425,0.1564,9.6111,-0.0069,0.0078,-0.0012
1701189708283313552,-0.9987,-0.2151,10.3909,0.0183,0.0065,0.0025
1701189708383319916,-0.8686,0.1811,10.4664,0.0001,0.0208,0.0072
1701189708483455079,-0.7732,0.4411,9.6740,0.0094,0.0131,-0.0004
1701189708583521859,-0.5677,0.2575,9.8560,-0.0100,-0.0031,-0.0028
1701189708683483344,-0.5784,0.1219,9.1007,0.0156,-0.0158,0.0015
1701189708783509001,-0.5864,0.3830,9.5883,-0.0014,-0.0107,0.0067
1701189708883380098,-0.6472,0.2504,9.4969,0.0044,0.0018,-0.0019
1701189708983354202,-0.6695,0.2543,9.5003,-0.0109,0.0134,0.0026
1701189709083423375,-0.7670,0.2630,9.8912,-0.0004,0.0170,0.0067
1701189709183364018,-0.6926,0.2580,9.6203,0.0031,0.0281,0.0008
1701189709283457253,-0.7421,0.4290,9.8878,-0.0131,0.0191,0.0004
1701189709383422023,-0.6720,0.1434,10.3120,0.0118,0.0080,-0.0008
1701189709483352077,-0.8202,0.2888,10.6602,-0.0085,0.0083,0.0007
1701189709583348247,-0.7985,0.1909,11.1689,-0.0016,-0.0100,-0.0017
1701189709683350024,-0.9105,-0.2378,11.2069,-0.0146,-0.0183,-0.0005
1701189709783304643,-0.6143,0.2689,9.4378,0.0016,-0.0208,0.0011
1701189709883305220,-0.5331,0.3036,9.7784,-0.0035,-0.0119,0.0009
1701189709983326186,-0.6157,0.2348,8.8950,0.0049,-0.0006,-0.0029
1701189710083337286,-0.5010,0.1421,9.2428,0.0041,0.0102,0.0014
1701189710183326540,-0.5398,0.1231,10.1513,-0.0060,0.0239,0.0029
1701189710283353725,-0.5355,0.1454,10.2340,0.0140,0.0147,-0.0030
1701189710383332903,-0.4722,0.2972,10.6144,-0.0082,-0.0036,-0.0038
1701189710483831914,-0.3403,0.1218,10.5035,-0.0106,-0.0122,0.0015
