UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701186269478469136,154429.44,A,5225.606663,N,00936.981585,E,0.111,,281123,3.82,E
1701186269578495033,154429.54,A,5225.606660,N,00936.981588,E,0.115,,281123,3.82,E
1701186269678483598,154429.64,A,5225.606661,N,00936.981590,E,0.110,,281123,3.82,E
1701186269778439827,154429.74,A,5225.606659,N,00936.981593,E,0.108,,281123,3.82,E
1701186269878445023,154429.84,A,5225.606657,N,00936.981597,E,0.119,,281123,3.82,E
1701186269978555921,154429.94,A,5225.606658,N,00936.981597,E,0.113,,281123,3.82,E
1701186270078637027,154430.04,A,5225.606656,N,00936.981601,E,0.112,,281123,3.82,E
1701186270178567027,154430.14,A,5225.606658,N,00936.981599,E,0.103,,281123,3.82,E
1701186270278732326,154430.24,A,5225.606655,N,00936.981602,E,0.113,,281123,3.82,E
1701186270378458719,154430.34,A,5225.606653,N,00936.981605,E,0.115,,281123,3.82,E
1701186270478525044,154430.44,A,5225.606655,N,00936.981606,E,0.108,,281123,3.82,E
1701186270578476353,154430.54,A,5225.606653,N,00936.981609,E,0.107,,281123,3.82,E
1701186270678473514,154430.64,A,5225.606654,N,00936.981609,E,0.109,,281123,3.82,E
1701186270778572743,154430.74,A,5225.606651,N,00936.981612,E,0.111,,281123,3.82,E
1701186270878495494,154430.84,A,5225.606649,N,00936.981616,E,0.110,,281123,3.82,E
1701186270978446734,154430.94,A,5225.606651,N,00936.981615,E,0.083,,281123,3.82,E
1701186271078457221,154431.04,A,5225.606649,N,00936.981615,E,0.062,,281123,3.82,E
1701186271178465325,154431.14,A,5225.606651,N,00936.981612,E,0.151,,281123,3.82,E
1701186271278442447,154431.24,A,5225.606650,N,00936.981602,E,0.311,,281123,3.82,E
1701186271378497126,154431.34,A,5225.606651,N,00936.981584,E,0.483,275.56,281123,3.82,E
1701186271478462349,154431.44,A,5225.606658,N,00936.981587,E,0.612,278.59,281123,3.82,E
1701186271578460449,154431.54,A,5225.606661,N,00936.981557,E,0.708,278.78,281123,3.82,E
1701186271678482530,154431.64,A,5225.606672,N,00936.981535,E,0.769,279.66,281123,3.82,E
1701186271778492722,154431.74,A,5225.606675,N,00936.981499,E,0.825,280.54,281123,3.82,E
1701186271878484342,154431.84,A,5225.606680,N,00936.981461,E,0.872,280.54,281123,3.82,E
1701186271978727507,154431.94,A,5225.606692,N,00936.981420,E,0.961,281.17,281123,3.82,E
1701186272078469540,154432.04,A,5225.606697,N,00936.981375,E,1.071,281.56,281123,3.82,E
1701186272178490846,154432.14,A,5225.606711,N,00936.981329,E,1.194,282.60,281123,3.82,E
1701186272278469015,154432.24,A,5225.606719,N,00936.981273,E,1.332,282.86,281123,3.82,E
1701186272378484233,154432.34,A,5225.606727,N,00936.981211,E,1.417,282.88,281123,3.82,E
1701186272478583925,154432.44,A,5225.606744,N,00936.981161,E,1.431,283.72,281123,3.82,E
1701186272578479505,154432.54,A,5225.606753,N,00936.981098,E,1.420,283.67,281123,3.82,E
1701186272678637884,154432.64,A,5225.606772,N,00936.981016,E,1.430,283.94,281123,3.82,E
1701186272778455816,154432.74,A,5225.606782,N,00936.980953,E,1.426,284.01,281123,3.82,E
1701186272878517382,154432.84,A,5225.606792,N,00936.980890,E,1.452,284.22,281123,3.82,E
1701186272978546751,154432.94,A,5225.606813,N,00936.980812,E,1.509,284.68,281123,3.82,E
1701186273078487403,154433.04,A,5225.606823,N,00936.980744,E,1.568,284.82,281123,3.82,E
1701186273178480307,154433.14,A,5225.606839,N,00936.980670,E,1.644,285.20,281123,3.82,E
1701186273278479366,154433.24,A,5225.606851,N,00936.980596,E,1.707,285.16,281123,3.82,E
1701186273378470719,154433.34,A,5225.606863,N,00936.980520,E,1.733,285.34,281123,3.82,E
1701186273478455582,154433.44,A,5225.606884,N,00936.980441,E,1.747,285.95,281123,3.82,E
1701186273578461542,154433.54,A,5225.606897,N,00936.980364,E,1.752,285.85,281123,3.82,E
1701186273678531930,154433.64,A,5225.606916,N,00936.980274,E,1.761,286.03,281123,3.82,E
1701186273778508400,154433.74,A,5225.606930,N,00936.980197,E,1.754,286.13,281123,3.82,E
1701186273878472871,154433.84,A,5225.606943,N,00936.980120,E,1.750,286.24,281123,3.82,E
1701186273978497903,154433.94,A,5225.606963,N,00936.980029,E,1.759,286.58,281123,3.82,E
1701186274078517564,154434.04,A,5225.606977,N,00936.979953,E,1.753,286.65,281123,3.82,E
1701186274178672992,154434.14,A,5225.606995,N,00936.979866,E,1.749,286.81,281123,3.82,E
1701186274278499909,154434.24,A,5225.607009,N,00936.979790,E,1.736,286.95,281123,3.82,E
1701186274378637128,154434.34,A,5225.607023,N,00936.979714,E,1.718,287.24,281123,3.82,E
1701186274478500413,154434.44,A,5225.607041,N,00936.979628,E,1.714,287.23,281123,3.82,E
1701186274578485690,154434.54,A,5225.607055,N,00936.979554,E,1.699,287.20,281123,3.82,E
1701186274678577721,154434.64,A,5225.607074,N,00936.979467,E,1.690,287.72,281123,3.82,E
1701186274778513010,154434.74,A,5225.607088,N,00936.979394,E,1.670,287.69,281123,3.82,E
1701186274878602212,154434.84,A,5225.607102,N,00936.979322,E,1.652,287.47,281123,3.82,E
1701186274978562407,154434.94,A,5225.607118,N,00936.979241,E,1.633,287.75,281123,3.82,E
1701186275078496553,154435.04,A,5225.607132,N,00936.979171,E,1.621,287.85,281123,3.82,E
1701186275178448656,154435.14,A,5225.607149,N,00936.979091,E,1.654,287.96,281123,3.82,E
1701186275278457601,154435.24,A,5225.607163,N,00936.979018,E,1.693,288.18,281123,3.82,E
1701186275378489328,154435.34,A,5225.607178,N,00936.978944,E,1.737,288.40,281123,3.82,E
1701186275478462686,154435.44,A,5225.607196,N,00936.978865,E,1.790,288.41,281123,3.82,E
1701186275578475621,154435.54,A,5225.607212,N,00936.978786,E,1.837,288.36,281123,3.82,E
1701186275678467694,154435.64,A,5225.607229,N,00936.978706,E,1.880,288.76,281123,3.82,E
1701186275778461415,154435.74,A,5225.607246,N,00936.978624,E,1.924,288.79,281123,3.82,E
1701186275878447110,154435.84,A,5225.607264,N,00936.978540,E,1.970,288.77,281123,3.82,E
1701186275978459571,154435.94,A,5225.607284,N,00936.978453,E,2.010,289.00,281123,3.82,E
1701186276078847148,154436.04,A,5225.607302,N,00936.978365,E,2.050,289.23,281123,3.82,E
1701186276178499972,154436.14,A,5225.607323,N,00936.978270,E,2.097,289.17,281123,3.82,E
1701186276278548180,154436.24,A,5225.607343,N,00936.978179,E,2.133,289.34,281123,3.82,E
1701186276378519452,154436.34,A,5225.607363,N,00936.978087,E,2.163,289.70,281123,3.82,E
