UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701626984855781166,-0.5844,0.0254,9.6247,0.0044,-0.0204,-0.0008
1701626984955167137,-0.5153,0.1920,9.1067,-0.0033,-0.0034,0.0051
1701626985055789186,-0.7411,0.1801,9.4572,0.0039,-0.0034,0.0014
1701626985156008437,-0.8484,0.0834,9.3608,-0.0031,-0.0007,0.0010
1701626985255540411,-0.6399,0.0108,10.0664,0.0005,0.0089,0.0027
1701626985355372418,-0.7429,0.1146,9.9925,-0.0001,0.0100,0.0023
1701626985455219839,-0.7048,0.2090,10.4940,0.0049,0.0007,-0.0024
1701626985555697947,-0.7019,-0.0473,10.4890,0.0020,-0.0060,-0.0013
1701626985655695949,-0.6240,0.0964,10.1543,-0.0023,-0.0104,0.0026
1701626985755499486,-0.6062,0.1942,9.7980,0.0068,-0.0120,0.0038
1701626985855270212,-0.6433,0.2086,9.1115,0.0013,-0.0090,0.0008
1701626985955363072,-0.6566,0.0959,9.7666,-0.0001,0.0095,0.0020
1701626986056192825,-0.7881,0.1323,9.3675,0.0027,0.0157,0.0026
1701626986155461848,-0.6400,0.1521,9.8997,0.0015,0.0085,0.0007
1701626986255504746,-0.5481,0.0964,10.4599,0.0021,0.0054,-0.0005
1701626986355281228,-0.4837,-0.0132,10.3127,0.0029,0.0086,0.0022
1701626986455618716,-0.4867,0.1695,10.4513,-0.0024,-0.0046,0.0030
1701626986555708081,-0.3596,0.1253,9.2592,0.0016,-0.0047,0.0080
1701626986655613467,-0.4693,0.1400,9.6432,0.0054,-0.0082,0.0032
1701626986755465740,-0.5867,0.2868,9.2714,0.0011,-0.0023,0.0038
1701626986855242887,-0.4931,0.1820,10.0258,-0.0027,0.0087,0.0024
1701626986954956989,-0.3400,0.0859,9.9670,0.0018,0.0113,0.0024
1701626987055537344,-0.2184,0.1321,10.5427,-0.0039,0.0008,0.0035
1701626987155470663,-0.2205,0.0678,10.2198,0.0089,-0.0160,0.0023
1701626987255351588,-0.1058,0.1085,10.0926,-0.0018,-0.0095,0.0022
1701626987355206806,-0.2094,0.1262,9.5960,-0.0039,-0.0060,0.0062
1701626987454973612,-0.1878,0.2575,9.1749,0.0009,-0.0070,0.0032
1701626987555537433,-0.1169,0.2151,9.6755,0.0012,0.0018,0.0001
1701626987655433573,-0.1769,0.0826,9.6812,0.0076,0.0081,0.0048
1701626987755612855,-0.1821,0.1991,10.7197,0.0027,0.0007,0.0004
1701626987855412315,-0.1731,0.1315,9.9502,0.0024,-0.0074,0.0036
1701626987956447038,-0.0820,0.0765,10.0993,0.0012,-0.0110,0.0048
1701626988055580403,-0.1261,0.1605,9.3113,-0.0010,-0.0053,0.0051
1701626988155518215,-0.1869,0.2800,9.4774,-0.0003,0.0001,0.0005
1701626988255271172,-0.2163,0.0806,9.5396,0.0029,0.0096,0.0037
1701626988355190846,-0.2549,0.1376,9.9652,0.0052,0.0136,0.0057
