UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701189240933539461,163400.80,A,5225.253823,N,00935.801154,E,0.223,,281123,3.82,E
1701189241033404401,163400.90,A,5225.253821,N,00935.801158,E,0.213,,281123,3.82,E
1701189241133188659,163401.00,A,5225.253823,N,00935.801148,E,0.224,,281123,3.82,E
1701189241233231801,163401.10,A,5225.253825,N,00935.801139,E,0.220,,281123,3.82,E
1701189241333157254,163401.20,A,5225.253824,N,00935.801141,E,0.215,,281123,3.82,E
1701189241433150193,163401.30,A,5225.253826,N,00935.801131,E,0.222,,281123,3.82,E
1701189241533466980,163401.40,A,5225.253825,N,00935.801132,E,0.263,,281123,3.82,E
1701189241633179584,163401.50,A,5225.253827,N,00935.801120,E,0.322,,281123,3.82,E
1701189241733198311,163401.60,A,5225.253830,N,00935.801103,E,0.420,285.20,281123,3.82,E
1701189241833148380,163401.70,A,5225.253829,N,00935.801109,E,0.527,284.53,281123,3.82,E
1701189241933204786,163401.80,A,5225.253833,N,00935.801082,E,0.689,283.88,281123,3.82,E
1701189242033191710,163401.90,A,5225.253830,N,00935.801106,E,0.812,283.75,281123,3.82,E
1701189242133543396,163402.00,A,5225.253836,N,00935.801066,E,0.990,283.64,281123,3.82,E
1701189242233210649,163402.10,A,5225.253843,N,00935.801018,E,1.180,283.57,281123,3.82,E
1701189242333195357,163402.20,A,5225.253837,N,00935.801023,E,1.321,283.09,281123,3.82,E
1701189242433265123,163402.30,A,5225.253846,N,00935.800961,E,1.510,283.07,281123,3.82,E
1701189242533200994,163402.40,A,5225.253850,N,00935.800939,E,1.660,283.17,281123,3.82,E
1701189242633171459,163402.50,A,5225.253861,N,00935.800862,E,1.848,283.14,281123,3.82,E
1701189242733415857,163402.60,A,5225.253873,N,00935.800776,E,2.024,283.15,281123,3.82,E
1701189242833265512,163402.70,A,5225.253880,N,00935.800727,E,2.157,283.14,281123,3.82,E
1701189242933548087,163402.80,A,5225.253895,N,00935.800628,E,2.314,283.14,281123,3.82,E
1701189243033177221,163402.90,A,5225.253904,N,00935.800555,E,2.433,283.17,281123,3.82,E
1701189243133571344,163403.00,A,5225.253919,N,00935.800444,E,2.572,283.20,281123,3.82,E
1701189243233175119,163403.10,A,5225.253936,N,00935.800327,E,2.699,283.17,281123,3.82,E
1701189243333194263,163403.20,A,5225.253952,N,00935.800235,E,2.785,283.21,281123,3.82,E
1701189243433192173,163403.30,A,5225.253970,N,00935.800109,E,2.886,283.39,281123,3.82,E
1701189243533170992,163403.40,A,5225.253985,N,00935.799996,E,2.956,283.38,281123,3.82,E
1701189243633125009,163403.50,A,5225.254004,N,00935.799864,E,3.030,283.37,281123,3.82,E
1701189243733236278,163403.60,A,5225.254024,N,00935.799728,E,3.102,283.43,281123,3.82,E
1701189243833167068,163403.70,A,5225.254045,N,00935.799600,E,3.153,283.48,281123,3.82,E
