UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701185559879049366,153239.84,A,5225.266062,N,00935.750693,E,0.169,,281123,3.82,E
1701185559979417303,153239.94,A,5225.266071,N,00935.750694,E,0.221,,281123,3.82,E
1701185560078424117,153240.04,A,5225.266064,N,00935.750696,E,0.324,,281123,3.82,E
1701185560178478158,153240.14,A,5225.266069,N,00935.750694,E,0.498,176.01,281123,3.82,E
1701185560278532262,153240.24,A,5225.266052,N,00935.750696,E,0.729,177.37,281123,3.82,E
1701185560378451018,153240.34,A,5225.266028,N,00935.750698,E,0.974,178.12,281123,3.82,E
1701185560478537192,153240.44,A,5225.266026,N,00935.750695,E,1.205,178.73,281123,3.82,E
1701185560578409497,153240.54,A,5225.265989,N,00935.750696,E,1.492,179.04,281123,3.82,E
1701185560678677889,153240.64,A,5225.265972,N,00935.750692,E,1.743,179.43,281123,3.82,E
1701185560778423742,153240.74,A,5225.265920,N,00935.750693,E,2.005,179.87,281123,3.82,E
1701185560878500169,153240.84,A,5225.265861,N,00935.750693,E,2.232,180.22,281123,3.82,E
1701185560978492952,153240.94,A,5225.265821,N,00935.750691,E,2.408,180.40,281123,3.82,E
1701185561078473893,153241.04,A,5225.265751,N,00935.750690,E,2.614,180.14,281123,3.82,E
1701185561178524512,153241.14,A,5225.265692,N,00935.750675,E,2.806,180.30,281123,3.82,E
1701185561278521741,153241.24,A,5225.265611,N,00935.750674,E,3.014,180.61,281123,3.82,E
1701185561378524252,153241.34,A,5225.265525,N,00935.750673,E,3.222,180.86,281123,3.82,E
1701185561478488354,153241.44,A,5225.265450,N,00935.750662,E,3.405,180.84,281123,3.82,E
1701185561578485534,153241.54,A,5225.265353,N,00935.750660,E,3.599,180.71,281123,3.82,E
1701185561678489277,153241.64,A,5225.265260,N,00935.750649,E,3.781,181.23,281123,3.82,E
1701185561778474500,153241.74,A,5225.265152,N,00935.750645,E,3.970,181.49,281123,3.82,E
1701185561879148401,153241.84,A,5225.265039,N,00935.750640,E,4.135,181.82,281123,3.82,E
1701185561978558047,153241.94,A,5225.264936,N,00935.750628,E,4.206,182.01,281123,3.82,E
1701185562078481754,153242.04,A,5225.264818,N,00935.750620,E,4.294,182.40,281123,3.82,E
1701185562178533420,153242.14,A,5225.264697,N,00935.750599,E,4.358,182.49,281123,3.82,E
1701185562278445875,153242.24,A,5225.264575,N,00935.750590,E,4.399,182.58,281123,3.82,E
1701185562378677484,153242.34,A,5225.264453,N,00935.750580,E,4.409,183.34,281123,3.82,E
1701185562478488509,153242.44,A,5225.264330,N,00935.750552,E,4.373,184.50,281123,3.82,E
1701185562578492667,153242.54,A,5225.264210,N,00935.750536,E,4.312,185.09,281123,3.82,E
1701185562678665194,153242.64,A,5225.264083,N,00935.750498,E,4.263,185.87,281123,3.82,E
1701185562778443179,153242.74,A,5225.263966,N,00935.750478,E,4.204,186.37,281123,3.82,E
1701185562878682873,153242.84,A,5225.263851,N,00935.750455,E,4.124,187.22,281123,3.82,E
1701185562978458589,153242.94,A,5225.263735,N,00935.750409,E,4.081,188.19,281123,3.82,E
1701185563078475129,153243.04,A,5225.263624,N,00935.750381,E,4.022,189.16,281123,3.82,E
1701185563178474767,153243.14,A,5225.263507,N,00935.750326,E,3.992,190.52,281123,3.82,E
1701185563278476346,153243.24,A,5225.263398,N,00935.750292,E,3.965,191.46,281123,3.82,E
1701185563378526729,153243.34,A,5225.263291,N,00935.750254,E,3.951,192.73,281123,3.82,E
1701185563478522892,153243.44,A,5225.263178,N,00935.750186,E,3.958,194.35,281123,3.82,E
1701185563578532307,153243.54,A,5225.263071,N,00935.750140,E,3.977,194.98,281123,3.82,E
1701185563678536229,153243.64,A,5225.262963,N,00935.750065,E,4.079,196.89,281123,3.82,E
1701185563778512429,153243.74,A,5225.262853,N,00935.750007,E,4.246,198.80,281123,3.82,E
1701185563878521595,153243.84,A,5225.262739,N,00935.749942,E,4.431,199.43,281123,3.82,E
1701185563978477411,153243.94,A,5225.262629,N,00935.749851,E,4.679,200.24,281123,3.82,E
1701185564078553483,153244.04,A,5225.262504,N,00935.749771,E,4.978,202.19,281123,3.82,E
1701185564178415688,153244.14,A,5225.262397,N,00935.749660,E,5.256,204.21,281123,3.82,E
1701185564278448478,153244.24,A,5225.262261,N,00935.749557,E,5.514,205.53,281123,3.82,E
1701185564378689570,153244.34,A,5225.262121,N,00935.749443,E,5.768,207.36,281123,3.82,E
1701185564478489638,153244.44,A,5225.261993,N,00935.749288,E,5.983,210.78,281123,3.82,E
1701185564578734656,153244.54,A,5225.261849,N,00935.749141,E,6.195,212.98,281123,3.82,E
1701185564678527648,153244.64,A,5225.261711,N,00935.748957,E,6.384,215.42,281123,3.82,E
1701185564778568516,153244.74,A,5225.261567,N,00935.748781,E,6.570,217.94,281123,3.82,E
1701185564878657873,153244.84,A,5225.261424,N,00935.748588,E,6.746,220.97,281123,3.82,E
1701185564978487226,153244.94,A,5225.261299,N,00935.748335,E,6.935,224.49,281123,3.82,E
1701185565078522960,153245.04,A,5225.261163,N,00935.748104,E,7.124,227.97,281123,3.82,E
1701185565179238828,153245.14,A,5225.261064,N,00935.747812,E,7.302,232.35,281123,3.82,E
1701185565279266288,153245.24,A,5225.260942,N,00935.747542,E,7.448,234.90,281123,3.82,E
1701185565379152792,153245.34,A,5225.260826,N,00935.747257,E,7.607,237.81,281123,3.82,E
1701185565479175002,153245.44,A,5225.260767,N,00935.746898,E,7.755,241.85,281123,3.82,E
1701185565579201801,153245.54,A,5225.260671,N,00935.746579,E,7.841,245.89,281123,3.82,E
1701185565679186357,153245.64,A,5225.260586,N,00935.746230,E,7.985,249.93,281123,3.82,E
1701185565779193144,153245.74,A,5225.260515,N,00935.745882,E,8.112,252.92,281123,3.82,E
1701185565879136984,153245.84,A,5225.260456,N,00935.745522,E,8.251,257.02,281123,3.82,E
1701185565979147596,153245.94,A,5225.260434,N,00935.745122,E,8.447,259.80,281123,3.82,E
1701185566078543819,153246.04,A,5225.260399,N,00935.744737,E,8.647,263.15,281123,3.82,E
1701185566178450806,153246.14,A,5225.260411,N,00935.744372,E,8.800,265.78,281123,3.82,E
1701185566278675427,153246.24,A,5225.260398,N,00935.743968,E,8.980,267.85,281123,3.82,E
1701185566378490666,153246.34,A,5225.260393,N,00935.743554,E,9.164,269.81,281123,3.82,E
1701185566478585420,153246.44,A,5225.260409,N,00935.743159,E,9.317,272.12,281123,3.82,E
1701185566578808234,153246.54,A,5225.260422,N,00935.742731,E,9.493,273.62,281123,3.82,E
1701185566678484860,153246.64,A,5225.260418,N,00935.742325,E,9.638,274.65,281123,3.82,E
1701185566778690136,153246.74,A,5225.260443,N,00935.741884,E,9.826,275.92,281123,3.82,E
1701185566878464343,153246.84,A,5225.260474,N,00935.741435,E,9.984,276.47,281123,3.82,E
1701185566978479471,153246.94,A,5225.260483,N,00935.741010,E,10.119,276.50,281123,3.82,E
1701185567078496516,153247.04,A,5225.260517,N,00935.740548,E,10.340,277.38,281123,3.82,E
1701185567179208706,153247.14,A,5225.260535,N,00935.740102,E,10.516,277.46,281123,3.82,E
1701185567279127984,153247.24,A,5225.260573,N,00935.739623,E,10.725,277.49,281123,3.82,E
1701185567379117380,153247.34,A,5225.260613,N,00935.739134,E,10.916,277.46,281123,3.82,E
1701185567479144514,153247.44,A,5225.260620,N,00935.738666,E,11.088,276.90,281123,3.82,E
1701185567579154255,153247.54,A,5225.260657,N,00935.738160,E,11.301,277.00,281123,3.82,E
1701185567679144409,153247.64,A,5225.260669,N,00935.737661,E,11.472,276.86,281123,3.82,E
