UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701185193228612026,-0.7572,0.2499,9.6710,0.0050,0.0100,-0.0179
1701185193328631430,-0.8324,0.2862,10.6027,0.0016,-0.0153,-0.0158
1701185193429629531,-0.7591,0.3009,10.4106,0.0059,-0.0000,-0.0177
1701185193529526267,-0.7882,-0.0586,9.7243,-0.0147,0.0023,-0.0231
1701185193629533864,-0.5373,0.1377,10.4647,0.0001,-0.0068,-0.0267
1701185193729518794,-0.7273,-0.0108,9.1410,-0.0037,-0.0114,-0.0241
1701185193829512607,-0.4773,0.0418,10.9197,-0.0137,-0.0088,-0.0245
1701185193929523703,-0.5281,0.0778,9.8993,0.0016,-0.0060,-0.0317
1701185194029544173,-0.8155,-0.2611,9.2355,-0.0011,0.0093,-0.0297
1701185194128775324,-1.0651,-0.0237,10.9000,0.0027,-0.0003,-0.0262
1701185194228631357,-0.9659,0.3019,8.0194,0.0009,-0.0021,-0.0240
1701185194328635988,-0.8970,-0.1432,10.6184,0.0052,0.0053,-0.0276
1701185194428820970,-0.7349,0.1057,9.7965,-0.0131,0.0096,-0.0304
1701185194528671137,-0.8873,-0.0245,8.6704,-0.0064,-0.0003,-0.0414
1701185194628885404,-0.7725,-0.2169,10.0745,-0.0042,0.0078,-0.0510
1701185194729635263,-0.9247,-0.0088,8.6337,-0.0026,0.0034,-0.0424
1701185194828762084,-0.8029,-0.1731,10.2378,0.0159,0.0082,-0.0361
1701185194928669723,-0.9650,0.3046,9.4866,-0.0115,0.0048,-0.0328
1701185195028627690,-0.7516,-0.0923,10.3176,0.0053,0.0042,-0.0258
1701185195128637278,-0.7620,0.1813,9.4914,-0.0028,0.0056,-0.0258
1701185195228631361,-0.8159,0.1157,9.6947,-0.0012,0.0043,-0.0250
1701185195328612259,-0.8271,0.1190,9.9580,0.0005,0.0009,-0.0186
1701185195428611547,-0.8176,0.3811,8.8642,0.0026,0.0006,-0.0201
1701185195528621459,-1.0154,0.2051,9.6278,-0.0016,0.0004,-0.0175
1701185195628622277,-0.7858,0.1689,10.1329,0.0171,-0.0092,-0.0147
1701185195728579321,-0.8808,0.1687,9.2222,-0.0013,0.0083,-0.0164
1701185195828624205,-0.8576,0.3191,10.0151,-0.0010,0.0013,-0.0163
1701185195928651275,-0.7607,0.2615,9.7521,0.0002,-0.0006,-0.0080
1701185196028693970,-0.6849,0.1720,9.1082,0.0072,0.0056,-0.0108
1701185196129048468,-0.5530,0.2149,10.6259,-0.0016,0.0055,-0.0082
1701185196228640885,-0.7193,0.0906,10.1938,0.0043,0.0076,-0.0095
1701185196328939098,-0.6540,0.3470,9.9025,-0.0186,-0.0124,-0.0078
1701185196428616687,-0.5701,0.2953,8.9343,-0.0054,-0.0032,-0.0100
1701185196528634727,-0.7504,0.2178,9.4739,0.0039,-0.0002,-0.0036
1701185196628664097,-0.6039,0.2777,10.4808,0.0145,-0.0032,-0.0056
1701185196728663137,-0.6944,0.2033,10.5759,-0.0024,-0.0031,-0.0078
1701185196828824452,-0.6004,0.2338,9.3364,-0.0134,-0.0074,-0.0089
1701185196928666876,-0.7161,0.2531,9.3954,-0.0059,-0.0003,-0.0052
1701185197028635398,-0.6404,0.3323,9.9694,-0.0084,0.0142,-0.0047
1701185197129503967,-0.6514,0.2860,9.2714,0.0116,0.0150,-0.0073
1701185197229572551,-0.7384,0.2025,10.4617,-0.0063,0.0042,-0.0019
1701185197329527863,-0.6995,0.3227,10.3426,0.0109,-0.0192,0.0002
1701185197429512372,-0.6685,0.3732,9.2796,0.0035,-0.0039,-0.0030
1701185197529517475,-0.8255,0.0575,9.7308,-0.0095,0.0040,-0.0056
1701185197629489021,-0.5522,0.3517,9.2296,0.0044,0.0028,-0.0027
1701185197729533621,-0.6546,0.1494,9.4526,-0.0025,0.0062,-0.0006
1701185197829519309,-0.7635,0.0127,10.6052,0.0033,0.0197,-0.0065
1701185197929524111,-0.6961,0.1581,10.7322,-0.0010,0.0034,-0.0066
1701185198028751843,-0.6328,0.5080,8.8360,-0.0072,-0.0133,-0.0033
1701185198128620032,-0.6595,0.1613,10.2487,-0.0029,-0.0121,-0.0021
1701185198228603138,-0.5539,0.2165,9.4919,0.0020,-0.0029,-0.0019
1701185198328668410,-0.7981,0.3204,8.9173,0.0007,0.0167,-0.0030
1701185198428628679,-0.7066,0.0799,10.0719,0.0034,0.0123,-0.0057
1701185198528926720,-0.6539,0.3411,10.0128,-0.0102,0.0192,-0.0067
1701185198628659595,-0.7645,0.1756,10.1842,0.0096,0.0009,-0.0041
1701185198728756852,-0.7519,0.3118,10.5026,0.0043,-0.0152,-0.0032
1701185198829259779,-0.6147,0.1748,9.5110,0.0001,-0.0098,-0.0082
1701185198928678282,-0.5746,0.2341,9.3031,-0.0011,-0.0051,-0.0027
1701185199028636915,-0.5949,0.1804,9.4077,-0.0091,-0.0013,-0.0023
1701185199129578936,-0.5374,0.2038,9.2577,0.0102,0.0118,-0.0049
1701185199229615185,-0.2666,0.1380,9.6377,0.0047,0.0103,-0.0052
1701185199329529847,-0.3254,0.0785,10.4408,0.0049,0.0171,-0.0054
1701185199429561005,-0.3979,0.3452,10.1790,0.0044,0.0140,-0.0059
1701185199529564614,-0.3904,0.2162,10.7260,0.0028,0.0020,-0.0036
1701185199629567576,-0.3092,0.3750,10.6159,-0.0040,-0.0096,-0.0014
1701185199729612523,-0.2499,0.3870,10.3550,-0.0009,-0.0180,-0.0022
1701185199829543415,-0.2304,0.2181,10.3122,-0.0039,-0.0221,-0.0054
1701185199929501280,-0.0592,0.0962,9.8484,0.0039,-0.0300,-0.0026
1701185200029178616,-0.0127,0.1394,9.5083,-0.0009,-0.0136,-0.0053
1701185200128633161,0.0189,0.3320,9.0467,-0.0020,-0.0088,-0.0094
1701185200228764987,-0.0938,0.1997,8.9149,-0.0020,0.0083,-0.0044
1701185200328644102,-0.1962,0.2665,9.0855,0.0014,0.0168,-0.0047
1701185200428737723,-0.1628,0.1556,9.8481,-0.0006,0.0234,-0.0032
1701185200529197560,-0.3179,0.2273,10.2941,0.0077,0.0172,-0.0009
1701185200628720015,-0.2573,0.2941,10.7082,0.0047,0.0069,0.0003
1701185200728707903,-0.1510,0.3444,10.7783,0.0037,-0.0158,-0.0012
1701185200828631541,-0.0278,0.3411,9.9634,-0.0063,-0.0228,-0.0024
1701185200928841669,0.0792,0.1183,9.4374,-0.0051,-0.0187,-0.0010
1701185201029576068,0.1033,0.3109,8.9038,0.0048,-0.0112,-0.0014
1701185201129528976,0.0915,0.3153,8.9628,0.0037,0.0105,0.0002
1701185201229500599,-0.0187,0.1819,9.5825,0.0074,0.0276,-0.0008
1701185201329511797,-0.0731,0.1880,10.0260,0.0013,0.0256,0.0008
1701185201428594681,-0.1006,0.2576,10.2656,0.0083,0.0141,-0.0028
1701185201528601910,-0.0561,0.3153,10.8249,-0.0005,0.0117,-0.0090
1701185201629598862,-0.1692,0.2330,10.6780,0.0040,0.0090,-0.0075
1701185201729587303,-0.0360,0.4308,10.4552,0.0027,0.0053,-0.0079
1701185201829495164,-0.1455,0.3442,10.8487,0.0050,0.0055,-0.0055
1701185201929529879,-0.0826,0.3769,10.7331,0.0024,0.0018,-0.0084
1701185202029498702,-0.0000,0.2741,10.8618,0.0005,-0.0007,-0.0069
1701185202128826247,-0.0080,0.2875,10.9343,0.0001,-0.0045,-0.0087
1701185202228600359,-0.0267,0.3025,10.4815,0.0041,-0.0137,-0.0064
1701185202328615844,0.1159,0.2928,10.5514,0.0038,-0.0202,-0.0106
1701185202428661706,0.2092,0.2914,9.8144,-0.0022,-0.0183,-0.0087
1701185202528599967,0.2723,0.2654,8.9608,0.0036,-0.0125,-0.0097
1701185202628796636,0.2654,0.2511,9.2761,-0.0116,0.0021,-0.0067
1701185202728700357,0.1854,0.1747,8.9256,-0.0029,0.0283,-0.0048
1701185202828743213,0.1115,0.2119,10.1004,-0.0054,0.0217,-0.0074
1701185202928677791,-0.1538,0.2896,10.7991,0.0065,0.0056,-0.0057
1701185203028653409,-0.0116,0.2458,10.2289,-0.0014,-0.0141,-0.0053
1701185203129654757,-0.0244,0.3385,9.8435,-0.0010,-0.0142,-0.0082
1701185203229490656,0.1265,0.3307,8.9565,0.0084,0.0047,-0.0058
1701185203329538044,0.0217,0.2766,10.0971,0.0066,0.0125,-0.0107
1701185203429584621,-0.0756,0.3199,10.9650,-0.0063,-0.0051,-0.0071
1701185203529546675,0.0033,0.2192,9.0669,-0.0005,-0.0118,-0.0075
1701185203629582473,0.1407,0.2211,9.7163,-0.0072,0.0173,-0.0026
1701185203728641850,-0.0355,0.2030,10.2153,0.0044,0.0063,-0.0060
1701185203828622861,-0.0638,0.2926,10.2914,0.0016,-0.0101,-0.0082
1701185203928680531,0.1166,0.3285,9.8933,-0.0004,-0.0099,-0.0064
1701185204028704422,0.1564,0.2291,9.1726,0.0001,0.0074,-0.0035
1701185204128867838,-0.0500,0.0437,10.4786,0.0005,0.0007,-0.0070
1701185204229598899,0.2302,0.3065,9.4413,0.0014,0.0052,-0.0073
1701185204328775516,0.2350,0.2952,9.4742,0.0045,0.0073,-0.0065
1701185204428656168,0.1889,0.3127,10.0380,0.0002,0.0033,-0.0089
1701185204528605607,0.3498,0.3183,9.8460,0.0004,0.0021,-0.0064
1701185204628740019,0.3547,0.3440,10.0102,-0.0023,-0.0012,-0.0005
1701185204728641753,0.4040,0.2485,10.1588,0.0039,-0.0056,-0.0077
1701185204828744047,0.4733,0.2311,9.8414,-0.0012,-0.0008,-0.0043
1701185204928726464,0.4408,0.1207,9.9497,0.0011,-0.0011,-0.0022
1701185205028660566,0.4383,0.2080,9.7893,0.0026,0.0018,-0.0068
1701185205129679283,0.3840,0.1540,9.9759,0.0077,-0.0008,-0.0061
1701185205229497679,0.2015,0.1534,9.9939,-0.0003,0.0028,-0.0034
1701185205328678628,0.0316,0.1696,9.9977,-0.0088,0.0108,-0.0083
1701185205428614433,0.1402,0.1926,9.6316,-0.0011,0.0012,-0.0062
1701185205528612654,0.0852,0.2075,9.8405,-0.0070,0.0081,-0.0047
1701185205628631337,-0.0219,0.2898,9.8425,-0.0030,0.0013,-0.0063
1701185205728617867,0.1396,0.4019,9.7089,0.0005,0.0051,-0.0030
1701185205828603225,0.0609,0.2065,10.1469,-0.0029,0.0015,-0.0063
1701185205928605076,-0.0945,0.1682,9.9805,-0.0034,-0.0078,-0.0038
1701185206028754070,0.2218,0.3375,9.0096,0.0060,0.0128,-0.0026
1701185206128718574,0.0858,0.2279,10.3662,0.0043,0.0140,-0.0054
1701185206228649109,-0.0366,0.2166,10.1143,0.0040,-0.0015,-0.0030
1701185206328673851,0.2094,0.4527,9.1391,0.0041,0.0017,-0.0052
1701185206428634353,-0.0107,0.1910,10.2081,-0.0027,0.0055,-0.0057
1701185206528689840,0.1456,0.3848,9.7388,0.0014,-0.0070,-0.0056
1701185206628667565,0.0502,0.2911,9.6734,-0.0063,0.0006,-0.0073
1701185206728801762,0.1845,0.3501,9.9330,0.0008,-0.0047,-0.0078
1701185206828864929,0.3893,0.2585,9.8173,0.0027,-0.0056,-0.0057
1701185206928654867,0.5281,0.2175,9.6271,-0.0002,-0.0018,-0.0087
1701185207028640311,0.6929,0.1560,10.3828,0.0016,-0.0098,-0.0080
1701185207128600872,0.9088,0.1763,9.6463,0.0024,-0.0040,-0.0067
1701185207228601664,1.1920,0.4342,9.5317,-0.0001,-0.0111,-0.0045
1701185207328608530,1.6048,0.1991,9.8866,0.0088,-0.0126,-0.0090
1701185207428614395,1.9525,0.5062,9.6673,0.0058,-0.0159,-0.0063
1701185207528621254,2.1791,0.2025,10.0026,0.0006,-0.0159,-0.0037
1701185207628607642,2.2498,0.4648,10.2749,-0.0040,-0.0037,-0.0030
1701185207728599696,2.3873,0.3845,9.6034,-0.0087,-0.0018,-0.0032
1701185207828594420,2.2578,0.1611,9.9352,-0.0018,0.0037,-0.0013
1701185207928604991,2.4782,0.3831,9.9794,0.0069,-0.0034,-0.0052
1701185208028684852,2.1163,0.3315,9.3635,0.0098,-0.0017,-0.0096
