UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1688558429759874613,-0.0173,0.0010,-9.8127,0.0048,-0.0004,0.0040
1688558429859831712,-0.0224,-0.0145,-9.8186,-0.0003,0.0010,0.0014
1688558429959217013,-0.0339,0.0058,-9.8047,-0.0022,0.0025,-0.0013
1688558430059769584,-0.0069,0.0026,-9.8095,0.0041,-0.0043,0.0033
1688558430159054172,-0.0052,0.0186,-9.8008,-0.0016,0.0023,0.0005
1688558430259632272,-0.0202,-0.0103,-9.7982,-0.0022,-0.0004,0.0035
1688558430359480063,0.0048,-0.0075,-9.7977,-0.0017,-0.0012,0.0050
1688558430460995043,-0.0091,0.0220,-9.8215,-0.0009,0.0032,0.0037
1688558430559079233,-0.0057,0.0164,-9.8021,-0.0009,0.0006,0.0012
1688558430659236822,-0.0002,0.0248,-9.8223,0.0010,0.0020,0.0023
1688558430759165235,-0.0313,0.0693,-9.8158,0.0001,-0.0015,0.0007
1688558430859288961,-0.0060,-0.1843,-9.7941,0.0004,0.0019,-0.0027
1688558430959345578,0.0105,0.0205,-9.7965,-0.0014,0.0028,0.0008
1688558431059352197,-0.0787,0.0037,-9.8107,0.0035,0.0001,0.0010
1688558431159337461,0.0136,-0.0776,-9.7815,-0.0020,0.0023,0.0006
1688558431259368004,0.0085,0.0666,-9.8129,0.0015,0.0020,-0.0031
1688558431359145907,-0.0669,-0.0543,-9.8127,0.0009,0.0050,0.0006
1688558431459120710,0.0145,0.0280,-9.8119,0.0007,-0.0032,0.0012
1688558431559246135,-0.0536,-0.0280,-9.8029,0.0004,0.0014,0.0021
1688558431660076290,0.0014,0.0625,-9.8031,-0.0012,-0.0017,0.0040
1688558431759886631,-0.0016,-0.0582,-9.8008,0.0017,-0.0008,0.0003
1688558431859660641,-0.0279,0.0935,-9.8050,0.0008,-0.0009,-0.0007
1688558431959656636,-0.0092,-0.0155,-9.8081,0.0004,0.0003,-0.0001
1688558432059309036,0.0079,0.0098,-9.8001,0.0001,-0.0017,0.0009
1688558432159666823,-0.0169,0.0053,-9.8042,-0.0001,-0.0027,-0.0018
1688558432259331224,0.0026,0.0597,-9.8087,-0.0015,-0.0023,0.0038
1688558432360154901,-0.0056,-0.0426,-9.7976,-0.0022,0.0020,0.0024
1688558432459255694,-0.0068,0.0302,-9.8082,-0.0002,0.0000,0.0034
1688558432558858338,-0.0337,0.0017,-9.8008,0.0003,0.0023,0.0057
1688558432658943235,-0.0239,-0.0026,-9.8063,-0.0014,0.0036,0.0033
1688558432758768354,0.0033,-0.0206,-9.8190,0.0017,-0.0014,0.0040
1688558432860432674,-0.0281,0.0032,-9.8042,0.0002,-0.0007,0.0023
1688558432960085492,-0.0074,0.0108,-9.7927,0.0006,0.0010,-0.0002
1688558433059897355,0.0015,0.0284,-9.8078,0.0008,-0.0011,0.0028
1688558433159304597,-0.0368,-0.0042,-9.8017,0.0017,0.0006,0.0034
1688558433260331813,-0.0057,-0.0142,-9.8006,-0.0045,-0.0004,-0.0004
1688558433358843584,-0.0166,0.0008,-9.7990,-0.0001,0.0017,0.0023
1688558433460634524,-0.0302,0.0159,-9.8041,-0.0032,-0.0038,0.0035
1688558433559680068,-0.0026,0.0143,-9.7913,0.0005,-0.0020,0.0050
1688558433659795256,-0.0186,-0.0002,-9.8207,-0.0006,-0.0009,0.0009
1688558433759028199,-0.0054,0.0189,-9.8182,-0.0034,0.0004,0.0051
1688558433859338840,-0.0095,0.0272,-9.8044,0.0014,0.0002,0.0018
1688558433958908306,-0.0156,-0.0087,-9.8182,-0.0012,0.0017,-0.0014
1688558434059871371,-0.0140,0.0233,-9.8171,-0.0000,-0.0018,0.0016
1688558434159627215,-0.0233,-0.0022,-9.8122,-0.0010,0.0029,0.0023
1688558434260102623,-0.0130,0.0139,-9.7875,-0.0001,-0.0018,0.0039
1688558434359762417,-0.0073,0.0071,-9.8157,-0.0012,-0.0024,0.0030
1688558434459097157,-0.0195,0.0158,-9.7978,0.0007,-0.0051,0.0021
1688558434558988941,-0.0252,0.0085,-9.8109,-0.0001,-0.0035,0.0019
1688558434660287280,-0.0039,0.0142,-9.7997,-0.0000,-0.0035,0.0036
1688558434759952162,-0.0037,0.0010,-9.8217,0.0016,0.0018,0.0010
1688558434859039808,-0.0214,0.0180,-9.7951,-0.0020,0.0008,0.0004
1688558434959808869,-0.0023,0.0123,-9.8120,-0.0001,-0.0000,0.0035
1688558435059532712,-0.0171,0.0108,-9.8174,-0.0009,-0.0007,0.0010
1688558435159198259,-0.0028,0.0182,-9.8098,-0.0012,-0.0011,0.0008
1688558435259920840,-0.0244,0.0034,-9.8208,0.0014,-0.0019,0.0060
1688558435359852532,-0.0181,0.0112,-9.7995,-0.0008,-0.0014,0.0005
1688558435460378357,-0.0106,-0.0063,-9.8207,-0.0001,0.0017,0.0005
1688558435559800952,-0.0107,0.0076,-9.8221,0.0000,-0.0029,-0.0016
1688558435659509468,-0.0135,-0.0050,-9.8069,-0.0009,0.0015,0.0028
1688558435759377171,-0.0115,0.0134,-9.8142,-0.0024,0.0002,0.0006
1688558435859959629,-0.0078,-0.0109,-9.8039,0.0013,-0.0029,0.0006
1688558435959740697,-0.0149,0.0240,-9.8162,0.0019,0.0022,0.0025
1688558436059568621,-0.0084,0.0075,-9.8124,-0.0032,0.0038,0.0022
1688558436159768976,-0.0250,0.0005,-9.8020,0.0064,-0.0039,0.0045
