UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701189030183387082,0.2827,0.1507,9.1776,-0.0012,-0.0047,0.0007
1701189030283378484,0.2538,0.0537,10.0595,0.0008,-0.0007,-0.0002
1701189030383359734,0.0747,-0.0597,10.0278,-0.0025,-0.0014,-0.0010
1701189030483431019,-0.1879,0.0643,9.2661,0.0021,-0.0012,0.0017
1701189030583545804,-0.2234,0.0804,9.9799,0.0013,0.0158,0.0054
1701189030683414774,-0.2839,-0.0110,9.7851,0.0005,0.0122,0.0015
1701189030783598730,-0.3987,0.0367,9.5996,0.0013,0.0086,0.0016
1701189030883445251,-0.1276,0.1692,9.6186,0.0025,0.0083,0.0003
1701189030983338608,-0.0391,0.0070,9.9197,0.0019,0.0008,0.0005
1701189031083827101,-0.0751,0.0197,10.0574,-0.0002,-0.0031,0.0001
1701189031183409237,-0.0267,0.1496,9.3055,0.0013,0.0031,0.0017
1701189031283478590,-0.0385,0.1087,9.6026,0.0039,0.0120,0.0023
1701189031383324326,-0.0292,0.0008,10.5022,0.0058,0.0087,0.0000
1701189031483333993,0.0608,-0.0094,10.3862,0.0017,-0.0011,0.0032
1701189031583436973,0.1402,-0.0293,10.3791,0.0047,-0.0124,0.0033
1701189031683396607,0.2575,0.0395,9.9719,0.0028,-0.0167,-0.0028
1701189031783379830,0.3608,0.0728,9.4755,0.0025,-0.0134,0.0018
1701189031883394329,0.4177,0.1289,9.4314,0.0042,-0.0075,0.0017
1701189031983415552,0.4519,0.1343,9.3176,0.0029,-0.0028,0.0020
1701189032083402429,0.3800,0.1085,9.1535,-0.0023,0.0039,0.0016
1701189032183430896,0.3940,0.0943,9.2795,0.0005,0.0083,0.0040
1701189032283429433,0.3969,0.0978,9.3951,0.0029,0.0073,-0.0014
1701189032383443596,0.3235,0.1279,9.3123,0.0024,0.0087,0.0046
1701189032483377803,0.2677,0.1633,9.7523,0.0021,0.0130,0.0040
1701189032583460440,0.3143,0.1048,9.8195,0.0005,0.0083,0.0007
1701189032683410368,0.4082,0.0926,10.3223,0.0021,0.0032,-0.0045
1701189032783418787,0.5129,-0.0999,10.2767,-0.0012,-0.0061,-0.0027
1701189032883387905,0.5701,-0.1114,10.0355,0.0016,-0.0193,0.0017
1701189032983455290,0.5767,0.1011,9.6807,0.0022,-0.0183,-0.0018
1701189033083436762,0.5718,0.1394,9.1518,0.0011,-0.0040,-0.0036
1701189033183458826,0.4510,0.0675,9.2556,-0.0003,0.0149,-0.0022
1701189033283417836,0.5115,0.2981,9.4495,0.0033,0.0176,0.0003
1701189033383390681,0.4459,0.1675,10.3941,0.0013,0.0151,-0.0018
1701189033483341567,0.5751,-0.1302,10.4587,0.0005,0.0005,-0.0049
1701189033583400300,0.6743,-0.0186,10.1199,0.0024,-0.0091,-0.0017
1701189033683475647,0.6679,-0.0022,9.6028,-0.0000,-0.0156,-0.0001
1701189033783485187,0.4582,0.1651,9.0554,-0.0022,0.0006,0.0002
1701189033883388678,0.2510,0.0719,9.2302,0.0008,0.0142,0.0002
1701189033983365789,0.0970,0.2407,9.5058,0.0046,0.0222,-0.0019
1701189034083355139,0.0939,0.1652,10.0973,0.0040,0.0135,-0.0015
1701189034183466022,0.0373,0.1449,10.4527,0.0065,-0.0021,-0.0044
1701189034283464399,-0.0297,-0.0820,10.2374,0.0114,-0.0108,-0.0015
1701189034384348504,0.0460,0.0648,10.1051,-0.0027,-0.0108,0.0005
1701189034483491452,0.0843,-0.0084,9.7357,-0.0014,-0.0091,-0.0013
1701189034583395122,-0.0013,0.0631,8.9034,0.0009,0.0005,-0.0013
1701189034683569048,-0.0789,0.1540,9.2508,0.0086,0.0097,0.0025
1701189034784478812,-0.2014,0.2428,9.5245,0.0032,0.0165,-0.0040
1701189034883448642,-0.1385,0.1535,9.7359,0.0059,0.0191,0.0034
1701189034983529635,-0.2004,0.0870,10.7898,0.0017,0.0112,0.0018
1701189035083416891,-0.0637,0.1074,10.4523,-0.0023,-0.0084,-0.0031
1701189035184111556,-0.0972,0.1353,9.7511,0.0016,-0.0130,-0.0019
1701189035283356435,0.0046,0.1475,9.4780,-0.0020,-0.0042,-0.0010
1701189035383405461,0.1208,0.1297,9.7561,0.0064,0.0090,-0.0015
1701189035483411246,-0.0001,0.0227,10.3221,0.0026,-0.0032,-0.0016
1701189035583352916,-0.0216,0.0902,9.6006,0.0003,-0.0013,-0.0030
1701189035683433210,0.1904,0.1971,9.4305,-0.0022,0.0070,-0.0006
1701189035783366572,0.1522,0.0328,10.0883,-0.0009,0.0071,0.0015
1701189035883347434,0.0497,-0.0139,9.8466,-0.0087,0.0011,0.0043
1701189035983386103,0.1232,0.1372,9.4960,0.0025,0.0025,-0.0012
1701189036083363204,0.0627,0.1648,9.7078,0.0002,0.0130,-0.0030
1701189036183354774,0.1568,-0.0442,10.3959,0.0014,-0.0031,0.0015
1701189036283380556,0.2206,0.0112,9.7275,-0.0005,-0.0087,0.0012
1701189036383377034,0.0398,0.1641,8.9488,-0.0014,0.0033,-0.0053
1701189036483294126,0.1013,0.1077,9.6994,0.0038,0.0144,-0.0004
1701189036583438121,0.0298,0.0165,10.0778,0.0098,0.0114,0.0027
1701189036683729940,0.1267,-0.0219,10.2490,0.0036,-0.0015,0.0052
1701189036783474031,0.2193,-0.0223,10.0240,0.0020,-0.0142,0.0054
1701189036883424522,0.2585,0.1270,9.2083,-0.0002,-0.0137,0.0014
1701189036983355838,0.1974,0.1245,8.9753,0.0025,0.0020,0.0027
1701189037083441192,0.0889,0.2831,9.3424,0.0029,0.0140,0.0009
1701189037183412902,0.0375,0.1792,9.7733,-0.0004,0.0192,0.0036
1701189037283362279,-0.0152,0.1058,10.4256,0.0004,0.0107,-0.0003
1701189037383554032,0.1081,-0.0015,10.5349,0.0056,-0.0031,0.0049
1701189037483358342,0.1175,0.0028,10.4525,0.0009,-0.0098,0.0004
1701189037583313606,0.2183,0.1791,10.0451,-0.0005,-0.0186,0.0008
1701189037683384516,0.2488,0.0761,9.6596,-0.0069,-0.0153,-0.0020
1701189037783354672,0.1825,0.1668,9.2958,-0.0042,-0.0059,0.0007
1701189037883369179,0.1040,0.1343,9.0336,0.0020,0.0096,-0.0019
1701189037983454357,0.0027,0.1574,9.3671,0.0026,0.0210,-0.0002
1701189038083414974,0.0031,0.0250,9.9202,0.0036,0.0237,-0.0046
1701189038183444762,-0.0610,0.0667,10.1801,0.0024,0.0184,-0.0012
1701189038283418354,0.0347,0.0387,10.0569,0.0054,0.0026,-0.0009
1701189038383378142,0.0299,0.0238,10.5154,0.0018,-0.0080,-0.0001
1701189038483357749,0.1905,-0.1676,9.8817,-0.0016,-0.0156,-0.0004
1701189038583560382,0.1912,0.1182,9.1542,-0.0045,-0.0043,-0.0000
1701189038683413424,0.0546,0.2153,9.2200,-0.0014,0.0096,-0.0019
1701189038783726600,0.0276,0.0588,9.5975,0.0032,0.0146,-0.0023
1701189038883420821,-0.0782,0.0207,10.4764,0.0047,-0.0027,0.0033
1701189038983501269,-0.0102,0.0506,10.1968,0.0022,-0.0113,-0.0017
1701189039083394108,-0.0645,0.0252,9.7330,0.0064,-0.0102,-0.0008
1701189039183328832,-0.0685,0.1369,9.3959,0.0002,0.0084,0.0016
1701189039283485663,0.0247,0.1235,9.8222,-0.0011,0.0171,0.0005
1701189039383358537,-0.1155,0.0562,10.4853,-0.0001,0.0052,0.0010
1701189039483372206,-0.1058,0.0740,9.8879,-0.0037,-0.0142,-0.0009
1701189039583421292,-0.0839,0.2335,9.4167,0.0040,-0.0091,-0.0017
1701189039683410506,-0.0275,0.0991,9.5998,0.0073,0.0132,-0.0014
1701189039783345341,-0.0131,0.0193,10.2126,0.0051,0.0087,-0.0002
1701189039883420666,-0.0542,-0.0408,9.9841,-0.0002,-0.0057,-0.0035
1701189039983367749,-0.1619,0.1479,9.3085,-0.0030,-0.0050,0.0008
1701189040083355866,-0.0709,0.2264,9.7663,0.0004,0.0066,-0.0020
1701189040183379456,-0.1396,-0.0304,10.4400,-0.0016,-0.0051,0.0006
1701189040283418985,-0.0086,-0.0600,10.0836,-0.0010,-0.0105,0.0015
1701189040383411278,-0.0959,0.1200,9.7893,0.0040,-0.0039,0.0007
1701189040483437113,-0.0871,0.2233,9.4815,0.0052,0.0112,-0.0071
1701189040583384974,-0.1008,-0.0508,10.3192,-0.0041,0.0061,-0.0004
1701189040683378868,-0.0844,-0.0076,9.9312,0.0006,-0.0072,0.0028
1701189040783367608,-0.0785,0.1681,9.1550,-0.0039,-0.0014,-0.0002
1701189040883434113,0.0458,0.1729,9.5492,0.0008,0.0080,-0.0024
1701189040983499652,-0.0468,-0.0516,10.2508,0.0052,0.0018,0.0029
1701189041083533004,0.0034,0.0403,9.9203,-0.0018,-0.0024,-0.0022
1701189041183449736,-0.0344,0.1681,9.4052,0.0041,-0.0002,0.0040
1701189041283520616,-0.0260,0.1064,9.8141,0.0060,0.0054,0.0017
1701189041383420850,0.0109,0.0790,10.4775,0.0051,-0.0011,0.0004
1701189041483424523,0.0293,0.1235,9.7084,-0.0024,-0.0138,-0.0041
1701189041583344865,-0.0292,0.0575,9.0601,-0.0034,-0.0047,-0.0000
1701189041683324573,0.0458,0.1549,9.5771,0.0039,0.0108,0.0035
1701189041783332668,-0.0276,0.0947,10.2463,0.0021,0.0105,-0.0022
1701189041883346109,0.0191,-0.0152,10.4456,-0.0004,-0.0119,-0.0014
1701189041983316727,0.1381,0.0131,9.9172,-0.0005,-0.0213,0.0012
1701189042083336649,0.1715,0.1294,9.2617,-0.0026,-0.0156,0.0008
1701189042183322467,0.1853,0.2068,9.1769,0.0023,0.0057,-0.0038
1701189042283339026,-0.0002,0.2272,9.4527,0.0041,0.0173,-0.0010
1701189042383361426,-0.0152,0.1106,9.8394,0.0042,0.0180,-0.0019
1701189042483485055,-0.1196,0.0630,10.6042,0.0081,0.0069,0.0010
1701189042583453744,-0.0045,0.0677,10.4432,0.0022,-0.0013,0.0019
1701189042683509942,0.0696,0.0213,10.5704,0.0015,-0.0065,-0.0016
1701189042783520572,0.1167,0.0564,10.3199,-0.0031,-0.0125,-0.0006
1701189042883508570,0.1409,-0.0784,10.1115,-0.0037,-0.0163,0.0023
1701189042983584008,0.1798,0.0214,9.6219,0.0025,-0.0205,0.0027
1701189043083451735,0.2767,0.0551,9.4370,-0.0003,-0.0190,-0.0024
1701189043183751296,0.3473,0.0508,9.1662,-0.0038,-0.0075,0.0013
1701189043283418121,0.2801,0.0990,8.9393,-0.0003,-0.0009,-0.0003
1701189043383330215,0.0445,0.1196,8.8911,-0.0015,0.0115,0.0003
1701189043483357571,-0.0606,0.1257,9.4449,0.0016,0.0209,0.0004
1701189043583382822,-0.1838,0.1302,9.9923,0.0077,0.0234,0.0018
1701189043683364144,-0.0983,0.1186,10.3943,0.0035,0.0110,0.0021
1701189043783346595,-0.1231,-0.0127,10.8438,0.0010,-0.0081,-0.0010
1701189043883329501,-0.0525,-0.0992,9.8569,0.0008,-0.0237,0.0020
1701189043983336660,-0.0549,0.0682,9.2647,0.0019,-0.0059,-0.0008
1701189044083327982,-0.0227,0.1835,9.2534,0.0044,0.0109,-0.0028
1701189044183330166,-0.0705,0.0451,9.9450,0.0010,0.0125,0.0024
1701189044283378304,-0.1329,0.0189,10.5854,-0.0029,-0.0064,-0.0010
1701189044383370768,-0.0474,-0.0163,9.5176,-0.0034,-0.0150,-0.0006
1701189044483416349,-0.0400,0.1837,9.2805,-0.0017,0.0036,-0.0016
1701189044583473860,-0.0929,-0.0090,9.9848,0.0015,0.0102,-0.0010
1701189044683598606,-0.0198,-0.0295,10.3580,-0.0003,0.0012,-0.0023
1701189044783472516,0.0285,-0.0110,9.9957,0.0016,-0.0130,-0.0008
1701189044883832791,-0.0238,0.1821,8.9841,0.0021,0.0023,-0.0006
1701189044983386630,0.0775,0.0929,9.5563,0.0030,0.0144,0.0037
1701189045083373187,-0.0851,-0.0141,10.5205,0.0027,0.0100,0.0023
1701189045183486887,0.0432,-0.0070,10.1119,-0.0041,-0.0077,-0.0025
1701189045283387513,0.0390,-0.0161,9.4789,-0.0016,-0.0097,0.0009
1701189045383439820,-0.0427,0.0692,9.1697,0.0031,0.0012,0.0009
1701189045483336224,-0.0362,0.1360,9.5518,0.0005,0.0183,0.0004
1701189045583365409,-0.0571,0.0295,10.3732,-0.0013,0.0108,-0.0023
1701189045683370938,0.0305,-0.0593,10.4063,0.0040,-0.0059,0.0010
1701189045783343764,0.0843,-0.0106,10.1040,-0.0023,-0.0199,-0.0006
1701189045883386127,0.1448,-0.0149,9.5354,0.0020,-0.0132,-0.0009
1701189045983427510,0.1132,0.1258,9.0805,-0.0028,-0.0010,-0.0010
1701189046083325749,0.0155,0.0899,9.2905,0.0050,0.0129,0.0019
1701189046183326144,0.0670,0.1617,9.5492,0.0032,0.0198,-0.0006
1701189046283337952,-0.0332,0.0530,10.2839,0.0042,0.0089,0.0003
1701189046383349666,0.1218,-0.0675,10.6627,-0.0004,0.0067,-0.0010
1701189046483344673,0.1355,-0.0679,10.5790,0.0048,-0.0138,0.0037
1701189046583749327,0.2536,-0.0489,10.1587,-0.0011,-0.0166,0.0013
1701189046683365687,0.3570,-0.0673,9.6880,-0.0045,-0.0163,0.0005
1701189046783355031,0.4915,-0.0247,9.5359,0.0007,-0.0176,-0.0010
1701189046883479843,0.4779,0.0245,9.5074,0.0029,-0.0133,0.0015
1701189046983387266,0.4750,0.0304,9.3453,0.0032,-0.0153,-0.0015
1701189047083455082,0.4767,-0.0048,9.3598,0.0022,-0.0138,0.0025
1701189047183420988,0.6227,-0.0385,9.2269,-0.0018,-0.0111,0.0015
1701189047283512197,0.6615,0.0437,9.3923,0.0021,-0.0116,-0.0006
1701189047383398134,0.6499,0.0484,9.4152,-0.0026,-0.0089,0.0011
1701189047483363189,0.6043,0.0522,9.4203,-0.0001,-0.0073,0.0033
