UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701189798933312994,164318.80,A,5224.788068,N,00937.293492,E,4.735,128.98,281123,3.82,E
1701189799033348548,164318.90,A,5224.788002,N,00937.293627,E,4.583,129.16,281123,3.82,E
1701189799133253126,164319.00,A,5224.787923,N,00937.293786,E,4.461,129.34,281123,3.82,E
1701189799233624318,164319.10,A,5224.787845,N,00937.293941,E,4.334,129.22,281123,3.82,E
1701189799333218298,164319.20,A,5224.787784,N,00937.294070,E,4.184,129.01,281123,3.82,E
1701189799433229395,164319.30,A,5224.787712,N,00937.294216,E,4.058,129.09,281123,3.82,E
1701189799533175394,164319.40,A,5224.787655,N,00937.294330,E,3.930,129.16,281123,3.82,E
1701189799633189527,164319.50,A,5224.787586,N,00937.294468,E,3.883,129.21,281123,3.82,E
1701189799733183372,164319.60,A,5224.787518,N,00937.294605,E,3.868,129.22,281123,3.82,E
1701189799833254906,164319.70,A,5224.787573,N,00937.294557,E,3.809,129.15,281123,3.82,E
1701189799933238082,164319.80,A,5224.787506,N,00937.294692,E,3.799,129.10,281123,3.82,E
1701189800033206656,164319.90,A,5224.787456,N,00937.294797,E,3.749,129.10,281123,3.82,E
1701189800133239036,164320.00,A,5224.787390,N,00937.294929,E,3.737,129.20,281123,3.82,E
1701189800233214891,164320.10,A,5224.787325,N,00937.295061,E,3.731,129.14,281123,3.82,E
1701189800333231363,164320.20,A,5224.787278,N,00937.295165,E,3.682,129.26,281123,3.82,E
1701189800433264497,164320.30,A,5224.787213,N,00937.295294,E,3.672,129.37,281123,3.82,E
1701189800533314390,164320.40,A,5224.787163,N,00937.295399,E,3.631,129.42,281123,3.82,E
1701189800633259080,164320.50,A,5224.787099,N,00937.295527,E,3.622,129.52,281123,3.82,E
1701189800733345099,164320.60,A,5224.787035,N,00937.295654,E,3.606,129.73,281123,3.82,E
1701189800833208800,164320.70,A,5224.786987,N,00937.295759,E,3.564,129.57,281123,3.82,E
