UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701628636963557884,183717.09,A,5225.193626,N,00937.038846,E,1.481,24.15,031223,3.82,E
1701628637064180172,183717.19,A,5225.193644,N,00937.038866,E,1.407,24.27,031223,3.82,E
1701628637163703053,183717.29,A,5225.193679,N,00937.038892,E,1.344,24.17,031223,3.82,E
1701628637263816011,183717.39,A,5225.193700,N,00937.038911,E,1.266,24.07,031223,3.82,E
1701628637363750185,183717.49,A,5225.193731,N,00937.038934,E,1.211,23.66,031223,3.82,E
1701628637463573241,183717.59,A,5225.193761,N,00937.038956,E,1.161,23.70,031223,3.82,E
1701628637564154138,183717.69,A,5225.193778,N,00937.038974,E,1.105,23.87,031223,3.82,E
1701628637664070876,183717.79,A,5225.193806,N,00937.038994,E,1.065,23.65,031223,3.82,E
1701628637763894017,183717.89,A,5225.193817,N,00937.039007,E,1.010,23.76,031223,3.82,E
1701628637863799383,183717.99,A,5225.193843,N,00937.039025,E,0.966,23.51,031223,3.82,E
1701628637964233211,183718.09,A,5225.193867,N,00937.039042,E,0.922,23.14,031223,3.82,E
1701628638063945702,183718.19,A,5225.193870,N,00937.039052,E,0.876,23.55,031223,3.82,E
1701628638163983351,183718.29,A,5225.193892,N,00937.039068,E,0.868,23.62,031223,3.82,E
1701628638263665607,183718.39,A,5225.193903,N,00937.039079,E,0.857,23.54,031223,3.82,E
1701628638363860655,183718.49,A,5225.193925,N,00937.039094,E,0.860,23.52,031223,3.82,E
1701628638464547882,183718.59,A,5225.193947,N,00937.039110,E,0.868,23.89,031223,3.82,E
1701628638563978446,183718.69,A,5225.193956,N,00937.039119,E,0.877,24.00,031223,3.82,E
1701628638663926170,183718.79,A,5225.193978,N,00937.039135,E,0.909,23.79,031223,3.82,E
1701628638763878762,183718.89,A,5225.193986,N,00937.039145,E,0.936,24.34,031223,3.82,E
1701628638863544516,183718.99,A,5225.194010,N,00937.039163,E,0.991,24.68,031223,3.82,E
1701628638964108941,183719.09,A,5225.194036,N,00937.039183,E,1.047,24.73,031223,3.82,E
1701628639064161487,183719.19,A,5225.194041,N,00937.039192,E,1.086,25.12,031223,3.82,E
