UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701185841828627305,-0.6458,-0.6497,9.6542,-0.0253,0.0107,0.0136
1701185841928609063,-0.6315,-0.5429,9.7306,0.0309,0.0147,0.0093
1701185842028724753,-0.5662,-0.3069,10.2074,0.0081,0.0036,0.0121
1701185842128632660,-0.6005,-0.2748,10.4717,0.0133,0.0038,0.0043
1701185842228620098,-0.4991,-0.3402,10.1831,-0.0066,-0.0040,0.0071
1701185842328620476,-0.5536,-0.4603,9.5270,-0.0078,-0.0080,0.0069
1701185842428734966,-0.4903,-0.4511,9.4930,-0.0092,0.0087,0.0068
1701185842528756364,-0.6607,-0.5260,7.8185,-0.0035,0.0014,0.0025
1701185842628749328,-0.4163,-0.6102,9.4932,0.0054,0.0073,0.0076
1701185842728798898,-0.4870,-0.2753,10.1409,0.0130,-0.0009,0.0097
1701185842828767447,-0.4796,-0.3726,10.2497,0.0025,0.0050,0.0049
1701185842928659012,-0.6045,-0.5600,10.5742,-0.0098,0.0026,0.0089
1701185843028618294,-0.4122,-0.5819,10.0413,0.0014,-0.0172,0.0087
1701185843128613440,-0.3916,-0.3240,9.3341,0.0123,-0.0270,0.0082
1701185843228621543,-0.4287,-0.2286,9.3161,0.0087,-0.0093,0.0025
1701185843328611771,-0.5939,-0.5115,9.0349,0.0110,0.0107,0.0064
1701185843428601369,-0.6582,-0.5321,9.5787,0.0039,0.0091,0.0137
1701185843528624812,-0.5096,-0.2299,10.0376,0.0077,0.0063,0.0120
1701185843628615309,-0.5006,-0.6037,10.8990,0.0091,-0.0013,0.0088
1701185843728630126,-0.3940,-0.2136,10.2786,0.0003,0.0029,0.0116
1701185843828619808,-0.2550,-0.2471,10.2450,-0.0013,-0.0131,0.0123
1701185843928624754,-0.2845,-0.3601,9.2856,0.0046,-0.0160,0.0064
1701185844029302230,-0.2288,-0.3429,8.8979,0.0103,-0.0043,0.0080
1701185844128667082,-0.2312,-0.3360,9.9184,0.0194,0.0080,0.0089
1701185844228700824,-0.3054,-0.2481,9.9402,0.0101,0.0206,0.0094
1701185844328655383,-0.3383,-0.3629,10.3261,0.0005,0.0080,0.0078
1701185844428807351,-0.2572,-0.3160,10.1657,-0.0038,-0.0104,0.0111
1701185844529129165,-0.3228,-0.5524,9.9516,-0.0016,-0.0123,0.0070
1701185844628690332,-0.2259,-0.2487,9.1557,0.0023,-0.0085,0.0126
1701185844728671366,-0.3243,-0.3001,9.3879,0.0062,0.0111,0.0138
1701185844828640129,-0.3300,-0.2918,9.5365,0.0045,0.0144,0.0098
1701185844928749002,-0.3867,-0.5080,10.4438,0.0059,0.0158,0.0121
1701185845028599976,-0.4082,-0.4197,10.6597,0.0091,0.0013,0.0136
1701185845128585741,-0.2581,-0.2363,10.3188,0.0013,-0.0032,0.0054
1701185845228598598,-0.2973,-0.3618,9.5673,-0.0021,-0.0124,0.0105
1701185845328600040,-0.2610,-0.2191,9.3515,0.0000,-0.0122,0.0111
1701185845428579975,-0.3007,-0.0678,9.1104,0.0021,0.0120,0.0087
1701185845528653360,-0.2485,-0.5483,10.0788,0.0163,0.0203,0.0078
1701185845628643810,-0.2813,-0.2206,10.2148,0.0224,0.0063,0.0090
1701185845728634293,-0.3505,-0.1016,10.5687,0.0067,-0.0065,0.0075
1701185845828584637,-0.2240,-0.2136,10.6728,-0.0074,-0.0130,0.0086
1701185845928582274,-0.1352,-0.3483,9.6811,-0.0076,-0.0215,0.0157
1701185846028583157,-0.0982,-0.2568,8.9974,-0.0029,-0.0080,0.0134
1701185846128745923,-0.1652,-0.2556,9.2777,0.0033,0.0120,0.0122
1701185846229104759,-0.1106,-0.2990,9.5829,0.0040,0.0238,0.0147
1701185846328645543,-0.1472,-0.3831,10.1912,-0.0001,0.0110,0.0160
1701185846428707541,-0.1886,-0.3074,10.4329,0.0102,0.0068,0.0152
1701185846528644910,-0.0870,-0.0129,10.7072,-0.0004,-0.0021,0.0117
1701185846628844219,-0.0972,-0.3604,9.8204,-0.0067,-0.0150,0.0131
1701185846728764581,-0.0176,-0.3762,9.3146,-0.0111,0.0007,0.0168
1701185846828776751,-0.0394,-0.1818,9.3706,-0.0089,0.0096,0.0160
1701185846928638088,0.0448,-0.2582,9.0542,0.0095,0.0219,0.0153
1701185847028709820,-0.0336,-0.2890,10.1414,0.0031,0.0287,0.0164
1701185847128613766,-0.2070,-0.1847,10.5866,0.0102,0.0117,0.0161
1701185847228652265,-0.1363,-0.0874,10.5955,-0.0122,-0.0002,0.0093
1701185847328626074,-0.0487,-0.3525,10.5526,-0.0168,-0.0085,0.0135
1701185847428660493,-0.0308,-0.4775,9.3973,-0.0096,-0.0129,0.0181
1701185847528620898,-0.0784,-0.2229,9.1587,-0.0028,0.0010,0.0127
1701185847628605254,-0.1729,-0.3776,9.4289,-0.0022,0.0136,0.0137
1701185847728638366,-0.0807,-0.4225,9.3969,-0.0078,0.0173,0.0178
1701185847828608981,-0.1961,-0.2927,10.3291,0.0029,0.0144,0.0212
1701185847928620593,-0.2281,-0.4087,10.6904,0.0060,0.0035,0.0144
1701185848028769329,-0.1396,-0.3621,10.3129,-0.0012,-0.0104,0.0141
1701185848128806638,-0.0821,-0.3593,9.3862,-0.0087,-0.0120,0.0132
1701185848228620222,-0.0858,-0.2452,8.8919,-0.0020,-0.0125,0.0158
1701185848328761616,-0.0943,-0.2992,9.1682,-0.0039,0.0076,0.0170
1701185848428836488,-0.0544,-0.3811,9.9125,0.0046,0.0143,0.0145
1701185848528636273,-0.1571,-0.2499,10.2855,0.0100,0.0006,0.0134
1701185848628738267,-0.0947,-0.2606,10.2594,-0.0017,-0.0121,0.0109
1701185848728631501,-0.0886,-0.4454,9.6771,-0.0133,-0.0132,0.0148
1701185848828732745,-0.0215,-0.3599,9.2486,-0.0127,0.0032,0.0152
1701185848928658820,0.0379,-0.3622,9.8407,-0.0047,0.0075,0.0155
1701185849028631090,0.0093,-0.4468,10.2669,0.0021,-0.0094,0.0157
1701185849128586865,-0.0446,-0.2074,9.6303,-0.0009,-0.0194,0.0142
1701185849228571224,0.1364,-0.2318,9.3366,-0.0028,-0.0077,0.0129
1701185849328567632,0.0953,-0.3010,9.6487,-0.0025,0.0150,0.0163
1701185849428581226,0.0409,-0.3601,10.6030,-0.0071,-0.0018,0.0118
1701185849528799689,-0.0259,-0.4704,10.1452,-0.0107,-0.0208,0.0158
1701185849628579428,-0.0003,-0.3337,9.1175,-0.0012,-0.0097,0.0168
1701185849728550451,0.1611,-0.2955,9.3433,0.0005,0.0136,0.0195
1701185849828607296,0.0136,-0.4131,10.4544,0.0084,0.0040,0.0176
1701185849928590802,-0.0088,-0.3877,9.9633,0.0036,-0.0074,0.0187
1701185850028748329,0.0132,-0.2901,9.4167,0.0036,-0.0072,0.0156
1701185850128740746,0.0709,-0.4002,9.1810,-0.0029,0.0049,0.0126
1701185850228651036,0.0647,-0.4699,10.3656,0.0037,0.0118,0.0155
1701185850328767842,0.0317,-0.3295,10.1810,-0.0009,-0.0050,0.0154
1701185850428694092,0.0929,-0.4404,9.4713,-0.0015,-0.0148,0.0131
1701185850528711872,0.0837,-0.5039,9.5581,0.0003,0.0004,0.0169
1701185850628653785,0.0991,-0.4050,9.4276,0.0099,0.0145,0.0150
1701185850728721460,0.0389,-0.4126,10.4221,-0.0036,0.0095,0.0150
1701185850828719526,0.0477,-0.4306,10.3256,-0.0103,-0.0130,0.0097
1701185850928630287,0.0450,-0.4334,9.0680,-0.0095,-0.0106,0.0126
1701185851028589366,0.1319,-0.4380,9.3841,-0.0020,0.0032,0.0103
1701185851128612195,0.1286,-0.4661,9.8393,0.0033,0.0135,0.0024
1701185851228598739,0.1487,-0.4689,10.3246,-0.0004,0.0005,0.0042
1701185851328623281,0.0825,-0.4161,10.0480,-0.0067,-0.0101,0.0053
1701185851428615919,0.1015,-0.4981,9.0290,-0.0085,-0.0069,0.0008
1701185851528622625,0.1489,-0.5683,9.6137,-0.0050,0.0116,-0.0013
1701185851628625282,0.1579,-0.4928,10.0917,0.0028,0.0151,0.0021
1701185851728625973,0.1447,-0.5071,10.3600,0.0050,-0.0047,0.0043
1701185851828624597,0.1971,-0.3495,10.1903,-0.0060,-0.0210,0.0040
1701185851928616542,0.1726,-0.4289,9.0764,0.0010,-0.0055,-0.0021
1701185852028654364,0.2056,-0.5382,9.2138,0.0080,0.0150,0.0033
1701185852128620761,0.1165,-0.2108,10.0846,0.0128,0.0178,0.0028
1701185852228737676,-0.0160,-0.5139,10.3620,0.0055,0.0050,-0.0007
1701185852328599315,0.0820,-0.4512,10.4880,-0.0055,-0.0102,0.0021
1701185852428743384,0.1472,-0.4963,9.9265,0.0022,-0.0210,-0.0021
1701185852528834692,0.2083,-0.3762,9.0740,-0.0027,-0.0135,0.0021
1701185852628712620,0.1877,-0.3770,8.8035,0.0003,-0.0034,0.0008
1701185852728677599,0.0902,-0.3977,8.9304,-0.0033,0.0104,0.0008
1701185852828602210,-0.0044,-0.5052,9.3129,0.0036,0.0213,0.0010
1701185852928653585,0.0846,-0.4575,9.9983,0.0084,0.0325,0.0009
1701185853029631256,-0.0212,-0.2817,9.9362,0.0105,0.0245,-0.0030
1701185853128795866,-0.0640,-0.2552,10.5161,0.0035,0.0120,0.0009
1701185853228719098,-0.0939,-0.3501,11.1023,-0.0012,0.0020,-0.0004
1701185853328695691,0.0352,-0.3346,10.3930,-0.0024,-0.0113,0.0032
1701185853428633184,0.0557,-0.4463,10.6168,-0.0003,-0.0179,0.0043
1701185853528622116,0.1573,-0.3515,9.7587,0.0061,-0.0224,0.0055
1701185853628649106,0.2533,-0.3471,9.3446,-0.0043,-0.0216,0.0005
1701185853728656534,0.3616,-0.4767,9.1083,-0.0067,-0.0208,0.0012
1701185853828658116,0.3250,-0.3850,8.6927,-0.0018,-0.0122,0.0034
1701185853928646069,0.2184,-0.3940,8.7102,0.0072,0.0026,0.0027
1701185854028657329,0.1192,-0.2642,9.2430,-0.0007,0.0178,0.0027
1701185854128701978,0.0252,-0.3853,9.5073,0.0067,0.0255,0.0048
1701185854228801285,-0.0243,-0.4580,9.7467,-0.0000,0.0337,0.0058
1701185854328666205,-0.0929,-0.3913,10.4867,0.0054,0.0167,0.0043
1701185854428707374,-0.1594,-0.4867,10.8409,0.0039,-0.0019,0.0052
1701185854528639792,-0.2117,-0.3468,10.5704,0.0017,-0.0079,0.0031
1701185854628739128,-0.0284,-0.3727,10.0685,0.0018,-0.0239,0.0041
1701185854728684826,0.1279,-0.4430,9.4646,0.0053,-0.0358,0.0052
1701185854828702881,0.1575,-0.2728,8.7540,0.0006,-0.0090,0.0031
1701185854928637602,0.0748,-0.2756,9.0491,-0.0113,0.0121,0.0038
1701185855029615874,0.0435,-0.5397,9.5433,-0.0003,0.0225,0.0061
1701185855129506718,0.0422,-0.3690,10.2017,0.0048,0.0131,0.0046
1701185855229542508,-0.0287,-0.3678,10.6122,0.0104,-0.0011,0.0030
1701185855329487760,0.0298,-0.4451,10.2978,0.0013,-0.0161,0.0026
1701185855429569039,0.1246,-0.2842,9.5505,-0.0042,-0.0170,0.0012
1701185855529494876,0.0919,-0.3670,9.2116,-0.0025,-0.0140,0.0042
1701185855629483341,0.0459,-0.4145,9.0491,0.0047,0.0063,0.0051
1701185855728576060,-0.0199,-0.3915,9.8492,0.0045,0.0238,0.0028
1701185855828572287,0.0482,-0.2499,10.1704,0.0080,0.0172,0.0068
1701185855928770214,-0.1208,-0.3810,10.7421,-0.0006,-0.0118,0.0032
1701185856028672197,0.0809,-0.4549,10.6085,-0.0004,-0.0198,0.0022
