UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701627554365658754,181914.49,A,5225.204041,N,00941.630233,E,4.945,132.87,031223,3.82,E
1701627554465576887,181914.59,A,5225.203949,N,00941.630394,E,4.763,133.07,031223,3.82,E
1701627554565285639,181914.69,A,5225.203869,N,00941.630523,E,4.571,133.16,031223,3.82,E
1701627554664690771,181914.79,A,5225.203784,N,00941.630672,E,4.402,132.99,031223,3.82,E
1701627554764634923,181914.89,A,5225.203713,N,00941.630792,E,4.255,133.09,031223,3.82,E
1701627554865164456,181914.99,A,5225.203634,N,00941.630932,E,4.145,133.24,031223,3.82,E
1701627554965257561,181915.09,A,5225.203556,N,00941.631067,E,4.045,133.30,031223,3.82,E
1701627555065022310,181915.19,A,5225.203494,N,00941.631173,E,3.933,133.41,031223,3.82,E
1701627555165050278,181915.29,A,5225.203419,N,00941.631301,E,3.841,133.48,031223,3.82,E
1701627555264660255,181915.39,A,5225.203362,N,00941.631398,E,3.731,133.43,031223,3.82,E
1701627555365120009,181915.49,A,5225.203292,N,00941.631520,E,3.643,133.38,031223,3.82,E
1701627555465530984,181915.59,A,5225.203223,N,00941.631639,E,3.550,133.51,031223,3.82,E
1701627555564920843,181915.69,A,5225.203171,N,00941.631724,E,3.462,133.61,031223,3.82,E
1701627555664814070,181915.79,A,5225.203105,N,00941.631838,E,3.409,133.46,031223,3.82,E
1701627555764612589,181915.89,A,5225.203059,N,00941.631918,E,3.341,133.43,031223,3.82,E
1701627555865270424,181915.99,A,5225.202995,N,00941.632028,E,3.295,133.61,031223,3.82,E
1701627555965259481,181916.09,A,5225.202933,N,00941.632136,E,3.256,133.79,031223,3.82,E
1701627556065013657,181916.19,A,5225.202890,N,00941.632211,E,3.194,133.56,031223,3.82,E
1701627556165079375,181916.29,A,5225.202829,N,00941.632316,E,3.159,133.72,031223,3.82,E
1701627556264870665,181916.39,A,5225.202785,N,00941.632395,E,3.106,133.87,031223,3.82,E
1701627556365130120,181916.49,A,5225.202725,N,00941.632496,E,3.068,133.58,031223,3.82,E
1701627556465248762,181916.59,A,5225.202667,N,00941.632597,E,3.029,133.59,031223,3.82,E
1701627556564788699,181916.69,A,5225.202626,N,00941.632663,E,2.969,133.89,031223,3.82,E
1701627556665116722,181916.79,A,5225.202569,N,00941.632760,E,2.930,133.86,031223,3.82,E
1701627556764941679,181916.89,A,5225.202529,N,00941.632829,E,2.872,133.89,031223,3.82,E
1701627556865137914,181916.99,A,5225.202474,N,00941.632922,E,2.830,134.09,031223,3.82,E
1701627556964995387,181917.09,A,5225.202420,N,00941.633014,E,2.789,134.00,031223,3.82,E
1701627557065166277,181917.19,A,5225.202385,N,00941.633082,E,2.726,133.72,031223,3.82,E
1701627557164643877,181917.29,A,5225.202333,N,00941.633171,E,2.684,133.87,031223,3.82,E
1701627557264757568,181917.39,A,5225.202296,N,00941.633232,E,2.628,133.95,031223,3.82,E
1701627557365315743,181917.49,A,5225.202246,N,00941.633317,E,2.588,134.16,031223,3.82,E
1701627557465781998,181917.59,A,5225.202196,N,00941.633401,E,2.547,133.98,031223,3.82,E
1701627557564951773,181917.69,A,5225.202164,N,00941.633459,E,2.494,133.91,031223,3.82,E
1701627557664863685,181917.79,A,5225.202116,N,00941.633540,E,2.464,134.14,031223,3.82,E
1701627557764791595,181917.89,A,5225.202081,N,00941.633597,E,2.432,134.19,031223,3.82,E
1701627557865612891,181917.99,A,5225.202034,N,00941.633677,E,2.418,134.07,031223,3.82,E
1701627557965204912,181918.09,A,5225.201988,N,00941.633756,E,2.408,134.20,031223,3.82,E
1701627558064786996,181918.19,A,5225.201957,N,00941.633810,E,2.380,134.18,031223,3.82,E
1701627558164744117,181918.29,A,5225.201911,N,00941.633888,E,2.367,134.04,031223,3.82,E
1701627558264401781,181918.39,A,5225.201880,N,00941.633943,E,2.337,134.09,031223,3.82,E
1701627558365249207,181918.49,A,5225.201835,N,00941.634019,E,2.323,134.25,031223,3.82,E
1701627558464937258,181918.59,A,5225.201790,N,00941.634095,E,2.311,134.28,031223,3.82,E
1701627558565555550,181918.69,A,5225.201756,N,00941.634147,E,2.289,134.14,031223,3.82,E
1701627558665000000,181918.79,A,5225.201712,N,00941.634221,E,2.280,134.12,031223,3.82,E
1701627558765527270,181918.89,A,5225.201684,N,00941.634277,E,2.253,134.03,031223,3.82,E
1701627558865435399,181918.99,A,5225.201640,N,00941.634351,E,2.244,134.09,031223,3.82,E
1701627558965253332,181919.09,A,5225.201597,N,00941.634424,E,2.237,134.03,031223,3.82,E
1701627559064805171,181919.19,A,5225.201566,N,00941.634478,E,2.217,134.19,031223,3.82,E
1701627559164915927,181919.29,A,5225.201523,N,00941.634550,E,2.206,134.17,031223,3.82,E
1701627559265353652,181919.39,A,5225.201493,N,00941.634606,E,2.182,133.89,031223,3.82,E
1701627559365495065,181919.49,A,5225.201451,N,00941.634677,E,2.170,134.06,031223,3.82,E
1701627559465199059,181919.59,A,5225.201409,N,00941.634748,E,2.158,134.33,031223,3.82,E
1701627559565035897,181919.69,A,5225.201380,N,00941.634799,E,2.130,134.33,031223,3.82,E
1701627559664954091,181919.79,A,5225.201339,N,00941.634868,E,2.120,134.07,031223,3.82,E
1701627559765234761,181919.89,A,5225.201307,N,00941.634926,E,2.105,134.06,031223,3.82,E
1701627559865431845,181919.99,A,5225.201266,N,00941.634994,E,2.094,134.24,031223,3.82,E
1701627559965263794,181920.09,A,5225.201226,N,00941.635062,E,2.081,134.16,031223,3.82,E
1701627560065141745,181920.19,A,5225.201193,N,00941.635119,E,2.062,134.17,031223,3.82,E
1701627560164994412,181920.29,A,5225.201154,N,00941.635186,E,2.051,134.29,031223,3.82,E
1701627560265208583,181920.39,A,5225.201126,N,00941.635238,E,2.024,134.14,031223,3.82,E
1701627560365249051,181920.49,A,5225.201087,N,00941.635304,E,2.008,134.10,031223,3.82,E
