UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701627554358238879,-1.1113,0.0967,10.7237,-0.0013,-0.0109,-0.0055
1701627554458903189,-1.0212,-0.1164,10.2719,0.0014,-0.0099,-0.0038
1701627554558334014,-1.0370,0.0620,10.3188,-0.0036,-0.0154,-0.0034
1701627554657768370,-0.7319,0.0748,9.0895,-0.0109,-0.0086,-0.0050
1701627554757643713,-0.6335,-0.0916,9.6810,-0.0069,-0.0089,-0.0006
1701627554858239757,-0.5732,-0.0391,9.3337,0.0004,-0.0030,-0.0006
1701627554958131598,-0.5923,-0.0992,9.4398,0.0024,0.0097,-0.0019
1701627555057829874,-0.5404,0.1330,9.7902,0.0054,0.0067,-0.0036
1701627555157712562,-0.6417,0.0274,10.2847,0.0010,0.0048,-0.0048
1701627555257567782,-0.5811,-0.0132,10.7912,0.0025,-0.0028,-0.0032
1701627555358256063,-0.4838,0.1159,9.7324,-0.0023,-0.0109,-0.0098
1701627555458889262,-0.4225,-0.0298,10.4027,-0.0000,-0.0108,-0.0054
1701627555558011841,-0.3274,0.0445,9.3034,-0.0001,-0.0119,-0.0052
1701627555657873265,-0.2224,0.2364,9.3145,-0.0005,-0.0066,-0.0023
1701627555757747179,-0.3826,-0.0986,9.5840,-0.0032,-0.0024,-0.0024
1701627555858191300,-0.2355,-0.0682,9.4886,0.0042,0.0012,0.0007
1701627555958463291,-0.2715,-0.0492,10.1182,0.0015,0.0071,0.0018
1701627556057868308,-0.2373,0.0579,9.9723,0.0033,0.0038,-0.0038
1701627556157868807,-0.1975,0.0838,10.4360,0.0066,-0.0142,-0.0031
1701627556257650317,-0.2472,0.0811,9.7388,-0.0028,-0.0118,0.0026
1701627556358220912,-0.2033,0.2838,9.6122,-0.0022,-0.0003,-0.0043
1701627556458328164,-0.3061,-0.1575,9.5027,-0.0027,0.0065,-0.0041
1701627556558198235,-0.2500,0.0105,9.8736,-0.0036,0.0113,-0.0003
1701627556657797424,-0.2882,-0.0651,10.3685,-0.0012,0.0060,-0.0011
1701627556757569322,-0.2379,-0.0357,10.2245,0.0026,-0.0038,-0.0020
1701627556858099345,-0.2436,-0.1002,10.0880,0.0043,-0.0121,-0.0032
1701627556957903142,-0.1893,0.1205,9.1532,-0.0012,-0.0113,-0.0016
1701627557057907754,-0.2589,0.0277,9.4566,0.0011,-0.0027,-0.0051
1701627557157822307,-0.3312,0.0160,9.3035,-0.0038,0.0026,-0.0035
1701627557257701153,-0.2223,-0.1177,9.8697,0.0051,0.0091,0.0018
1701627557358198438,-0.2914,-0.0908,9.9558,0.0045,0.0046,0.0043
1701627557458837871,-0.1726,0.0820,10.3391,-0.0011,-0.0090,-0.0023
1701627557557981960,-0.1897,-0.0071,9.8573,0.0020,-0.0103,-0.0022
1701627557657643354,-0.1204,0.0956,9.4795,0.0031,-0.0127,0.0018
1701627557757621103,-0.1243,0.2974,9.0818,0.0055,-0.0057,0.0010
1701627557858663715,-0.0657,-0.0057,9.7545,0.0057,0.0051,-0.0012
1701627557958018144,-0.0031,-0.0314,10.1009,0.0030,0.0106,0.0001
1701627558057928859,-0.1050,0.0588,10.1668,0.0027,-0.0056,-0.0001
1701627558157805540,-0.1337,-0.0364,9.7639,0.0013,-0.0083,-0.0006
1701627558257690626,-0.1253,0.0602,9.4929,-0.0039,0.0022,0.0026
1701627558358326598,-0.0754,0.0242,9.4092,0.0061,0.0083,0.0018
1701627558457933867,-0.1023,-0.1036,10.6704,0.0010,0.0015,0.0012
1701627558558071729,-0.0462,0.0938,9.8022,-0.0018,-0.0022,-0.0043
1701627558657827739,-0.0692,0.0156,9.6111,-0.0059,-0.0057,0.0015
1701627558758522367,-0.1233,0.2189,9.4802,-0.0023,-0.0015,0.0039
1701627558858123615,-0.0722,-0.1065,9.8847,0.0012,0.0134,-0.0024
1701627558957943808,0.0044,0.0512,10.3636,0.0014,-0.0002,-0.0003
1701627559057866648,-0.0337,-0.0594,9.6940,-0.0023,-0.0112,0.0027
1701627559157734390,-0.1131,0.1854,9.5973,-0.0022,-0.0012,0.0024
1701627559258256009,-0.0775,0.1844,9.5765,0.0028,0.0037,0.0015
1701627559358176131,-0.0790,0.0061,10.0283,-0.0018,0.0018,0.0039
1701627559457978738,-0.0492,0.0454,10.2936,0.0017,-0.0064,0.0028
1701627559557859065,-0.1760,0.2586,9.4040,0.0061,-0.0146,0.0009
1701627559657801673,-0.0860,0.0719,9.8814,0.0013,0.0078,-0.0021
1701627559758245573,0.0035,0.0903,9.9668,0.0002,0.0108,0.0018
1701627559858191694,-0.0280,0.0410,10.2488,-0.0017,-0.0126,0.0028
1701627559958064176,-0.1275,0.0746,9.7984,0.0035,-0.0082,-0.0039
1701627560057953979,-0.0509,0.1165,9.3794,0.0033,0.0013,-0.0013
1701627560157803016,-0.0543,0.0990,10.1679,0.0023,0.0081,-0.0011
1701627560258325851,-0.1037,0.0775,10.2914,-0.0011,-0.0040,0.0019
1701627560358152200,-0.0497,0.0155,9.9938,0.0028,-0.0137,0.0011
1701627560457991634,-0.0866,0.0652,9.3490,0.0023,0.0069,0.0016
1701627560558000474,-0.0175,0.1193,10.0171,0.0013,0.0127,-0.0004
1701627560657629382,-0.1144,0.0102,10.1429,-0.0038,0.0015,-0.0010
1701627560758398439,-0.0830,0.0182,10.0641,-0.0022,-0.0100,0.0006
1701627560858126802,-0.2000,0.0406,9.6843,-0.0017,-0.0044,0.0027
1701627560958039952,-0.0223,-0.0181,9.5468,0.0010,0.0150,0.0036
1701627561057893961,0.0404,0.1723,10.0903,-0.0008,0.0118,0.0048
1701627561157800337,-0.0525,0.0426,9.8322,0.0054,-0.0125,-0.0042
1701627561258119877,-0.0901,0.0906,9.9427,-0.0001,-0.0071,0.0025
1701627561358147641,0.0081,0.1219,9.8539,-0.0017,0.0129,0.0027
1701627561457926383,0.0427,0.0782,10.1501,-0.0025,0.0048,-0.0022
1701627561557846214,0.0622,-0.0817,9.9213,0.0007,-0.0106,0.0002
1701627561657740013,0.1045,0.1205,9.2695,0.0048,0.0006,-0.0014
1701627561758444446,0.1793,0.0346,9.4369,0.0034,0.0080,0.0029
1701627561858255165,0.1178,0.0031,10.1509,0.0028,0.0001,0.0010
1701627561958614362,0.1862,-0.0196,9.9098,-0.0014,-0.0076,0.0037
1701627562058067488,0.1923,0.1086,9.3904,0.0002,-0.0084,-0.0032
1701627562157796564,0.1094,0.0909,9.2244,0.0004,0.0094,0.0054
1701627562258149721,0.1220,0.1166,9.7008,0.0036,0.0162,-0.0028
1701627562358056586,0.1602,0.0814,10.3947,0.0072,0.0008,-0.0010
1701627562458040344,0.2206,0.1343,10.3469,0.0064,-0.0034,-0.0009
1701627562557872379,0.1728,0.1203,10.1794,0.0025,-0.0124,0.0039
1701627562657689795,0.1249,0.1132,9.5049,0.0046,-0.0103,0.0014
1701627562758359645,0.0628,0.1402,9.2734,0.0013,0.0008,-0.0001
1701627562858096098,0.1032,0.1477,9.6831,-0.0000,0.0135,-0.0010
1701627562957842590,0.0000,0.0210,10.2327,0.0077,0.0048,0.0030
1701627563058508086,0.0386,-0.0088,10.3387,-0.0001,-0.0055,0.0039
1701627563157730786,0.0706,0.0527,10.2350,0.0000,-0.0116,0.0030
1701627563258133041,0.0778,0.0781,9.4828,0.0013,-0.0203,0.0014
1701627563358154320,0.0663,0.0449,9.5448,0.0047,-0.0140,0.0054
1701627563458684030,-0.1099,-0.0249,9.1558,-0.0005,-0.0015,-0.0002
1701627563557697311,-0.0769,0.0415,9.3659,0.0013,0.0143,0.0005
1701627563658492357,-0.1204,-0.0605,9.7745,0.0024,0.0171,0.0050
1701627563758289026,-0.0780,0.1161,10.2674,0.0018,0.0053,0.0025
1701627563858765735,-0.1181,-0.0558,10.6098,0.0010,-0.0112,-0.0012
1701627563958203599,-0.0237,0.0220,10.0333,-0.0010,-0.0152,-0.0031
1701627564058150955,-0.1120,-0.0161,9.7240,-0.0046,-0.0138,0.0025
1701627564158614244,-0.1291,0.0824,8.7485,-0.0010,-0.0028,0.0015
1701627564258222013,-0.0235,0.0185,9.8222,0.0010,0.0021,0.0035
1701627564358663067,-0.0407,-0.0075,9.9362,-0.0001,0.0078,0.0031
1701627564458637451,-0.0168,0.0560,10.0322,-0.0072,0.0017,0.0024
1701627564557830776,-0.0368,-0.0382,9.7705,-0.0032,-0.0094,0.0031
1701627564658557523,-0.0959,-0.0124,9.2355,-0.0023,0.0000,0.0012
1701627564758768574,-0.0548,-0.0627,9.7978,-0.0005,0.0110,0.0015
1701627564857871461,-0.0437,0.1040,9.8435,0.0005,0.0054,0.0018
1701627564958000221,0.0001,0.0032,10.3033,-0.0006,-0.0010,0.0015
1701627565058285112,-0.1295,0.1905,9.3038,0.0027,-0.0124,0.0006
1701627565158220680,-0.1489,0.1371,9.4202,0.0093,-0.0017,0.0035
1701627565258080010,-0.0138,0.0985,10.2472,0.0097,0.0047,0.0021
1701627565357890949,-0.0307,0.0286,10.1696,0.0027,-0.0001,0.0013
1701627565457664793,0.0420,0.0171,9.9514,0.0027,-0.0050,0.0041
1701627565557746724,-0.0409,0.0651,9.4145,0.0019,-0.0059,0.0010
1701627565658398004,-0.0327,0.1883,9.5736,0.0071,0.0078,0.0025
1701627565758354913,-0.0266,0.0632,10.2646,0.0001,0.0117,0.0012
1701627565858080186,-0.0460,-0.1005,10.4782,0.0012,-0.0023,0.0005
1701627565957918618,0.0355,0.1194,9.7611,0.0011,-0.0108,0.0019
1701627566057865227,0.0813,0.1310,9.2537,-0.0053,-0.0045,0.0037
1701627566158300876,-0.0118,0.1504,9.3643,0.0023,0.0039,0.0014
1701627566258285088,0.0082,0.1230,10.0838,0.0033,0.0164,0.0022
1701627566358149673,-0.1868,-0.0062,10.2117,0.0036,0.0063,0.0026
1701627566457936418,-0.2473,-0.0075,10.4014,0.0019,-0.0113,0.0022
1701627566557950777,-0.2512,0.1072,9.5057,0.0028,-0.0099,0.0004
1701627566659098527,-0.3375,0.1137,9.4167,0.0032,0.0003,-0.0017
1701627566758251813,-0.3463,-0.0215,9.6630,-0.0004,0.0115,0.0009
1701627566858061368,-0.3116,0.0654,9.7498,0.0016,0.0080,0.0024
1701627566958601053,-0.3308,-0.0510,10.4338,-0.0031,-0.0049,0.0009
1701627567057661629,-0.3368,-0.0202,9.8904,0.0008,-0.0131,0.0020
1701627567158215783,-0.4303,0.1988,9.4400,0.0050,-0.0051,0.0015
1701627567258122882,-0.2663,0.1593,9.5156,0.0032,0.0070,-0.0009
1701627567358046932,-0.1758,0.0429,10.2887,-0.0035,0.0021,0.0030
1701627567458633683,-0.0378,-0.0627,10.0878,-0.0006,-0.0121,-0.0010
1701627567557738410,-0.0006,0.1028,9.4869,0.0022,-0.0016,-0.0017
1701627567658257613,0.0191,0.1606,9.3309,0.0055,0.0096,0.0011
1701627567758175177,-0.0046,0.1006,10.3050,-0.0028,0.0040,0.0022
1701627567859164397,-0.0062,-0.0279,10.3659,-0.0014,-0.0084,-0.0002
1701627567957936002,0.0257,0.0353,9.4496,-0.0037,-0.0120,-0.0019
1701627568058124801,0.0627,0.1716,9.2654,0.0041,-0.0013,0.0007
1701627568158390897,-0.0010,0.1023,9.3970,0.0019,0.0155,0.0025
1701627568258323294,0.0683,0.0555,10.2901,0.0017,0.0165,-0.0015
1701627568357924328,0.0883,-0.0277,10.4157,0.0025,0.0035,0.0011
1701627568458032336,0.1024,0.0135,10.3408,0.0045,-0.0033,0.0026
1701627568558648778,0.1829,0.1101,10.4235,0.0017,-0.0112,0.0038
1701627568658269778,0.2660,0.0822,10.1857,0.0034,-0.0156,-0.0000
1701627568758197743,0.3578,0.1099,10.2210,-0.0018,-0.0212,0.0006
1701627568858033859,0.3700,0.1500,9.8168,-0.0007,-0.0204,0.0006
1701627568957818250,0.4907,0.1161,9.5478,-0.0025,-0.0210,0.0035
1701627569058440593,0.5152,0.0646,9.5518,-0.0016,-0.0217,0.0011
1701627569158208757,0.5648,0.1380,9.1825,0.0008,-0.0131,0.0022
1701627569258146507,0.5065,0.1142,9.3704,-0.0002,-0.0087,0.0005
1701627569358013643,0.4132,0.1244,9.1743,0.0006,-0.0039,-0.0004
1701627569457928136,0.2651,0.1229,9.4038,-0.0021,0.0070,0.0018
1701627569558325029,0.1412,0.0592,9.3667,-0.0000,0.0122,0.0012
1701627569658240574,0.1235,0.0700,9.8485,0.0026,0.0169,0.0016
1701627569758312691,0.1337,0.0315,9.9927,0.0055,0.0140,0.0002
1701627569858087632,0.0980,0.0391,10.4984,0.0061,0.0063,-0.0015
1701627569958124326,0.1017,0.0290,10.6622,0.0020,-0.0068,0.0020
1701627570058880371,0.1500,0.1722,10.0070,0.0025,-0.0184,0.0003
1701627570158263587,0.1246,0.1943,9.5459,0.0073,-0.0170,0.0041
1701627570258252577,0.0952,0.2450,9.0231,0.0007,-0.0049,-0.0014
1701627570358006780,0.0568,0.1583,9.3092,0.0010,0.0107,0.0047
1701627570458488411,0.0945,0.0729,9.7490,0.0054,0.0175,0.0007
1701627570558388962,0.0967,0.0238,10.3094,0.0001,0.0144,0.0004
1701627570658342669,0.1014,-0.0080,10.4544,0.0011,0.0041,0.0047
