UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701184910278494230,152150.24,A,5225.196506,N,00936.712230,E,0.051,,281123,3.82,E
1701184910378765174,152150.34,A,5225.196505,N,00936.712231,E,0.049,,281123,3.82,E
1701184910478449078,152150.44,A,5225.196507,N,00936.712212,E,0.040,,281123,3.82,E
1701184910578463899,152150.54,A,5225.196506,N,00936.712213,E,0.039,,281123,3.82,E
1701184910678545932,152150.64,A,5225.196506,N,00936.712196,E,0.041,,281123,3.82,E
1701184910778453296,152150.74,A,5225.196505,N,00936.712198,E,0.092,,281123,3.82,E
1701184910878585482,152150.84,A,5225.196504,N,00936.712203,E,0.148,,281123,3.82,E
1701184910978516369,152150.94,A,5225.196503,N,00936.712190,E,0.217,,281123,3.82,E
1701184911078483085,152151.04,A,5225.196501,N,00936.712201,E,0.319,,281123,3.82,E
1701184911178530141,152151.14,A,5225.196497,N,00936.712184,E,0.423,102.58,281123,3.82,E
1701184911278475468,152151.24,A,5225.196495,N,00936.712206,E,0.572,101.35,281123,3.82,E
1701184911378449447,152151.34,A,5225.196491,N,00936.712236,E,0.754,100.82,281123,3.82,E
1701184911478445522,152151.44,A,5225.196482,N,00936.712224,E,0.939,101.04,281123,3.82,E
1701184911578456360,152151.54,A,5225.196477,N,00936.712271,E,1.185,100.32,281123,3.82,E
1701184911678473808,152151.64,A,5225.196454,N,00936.712273,E,1.420,101.24,281123,3.82,E
1701184911778433050,152151.74,A,5225.196446,N,00936.712342,E,1.686,100.91,281123,3.82,E
1701184911878481679,152151.84,A,5225.196436,N,00936.712424,E,1.949,100.54,281123,3.82,E
1701184911978440745,152151.94,A,5225.196397,N,00936.712467,E,2.179,101.66,281123,3.82,E
1701184912078604954,152152.04,A,5225.196385,N,00936.712569,E,2.409,101.37,281123,3.82,E
