UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701184910228675503,-0.0777,0.0761,10.0735,0.0009,0.0010,0.0011
1701184910328703506,0.0360,0.2790,9.5876,0.0026,0.0060,-0.0001
1701184910428641356,-0.0846,0.0791,9.9795,-0.0049,-0.0010,0.0013
1701184910528754379,0.0866,0.2652,9.6290,0.0033,0.0061,0.0024
1701184910628664563,0.2389,0.1106,9.8110,0.0066,-0.0045,0.0045
1701184910728734414,0.3311,0.2395,9.5271,0.0050,-0.0091,0.0069
1701184910828803398,0.2767,0.1361,10.1223,0.0019,-0.0072,-0.0018
1701184910928676076,0.5768,0.2351,9.6303,0.0029,-0.0041,0.0024
1701184911028682560,0.5451,0.1248,10.4428,-0.0010,-0.0040,-0.0017
1701184911128728854,0.7834,0.2857,9.4794,0.0039,-0.0044,-0.0017
1701184911228679379,0.9207,0.1945,9.7082,-0.0020,-0.0031,-0.0016
1701184911328594247,1.1555,0.2007,9.7996,0.0009,-0.0038,-0.0009
1701184911428585743,1.1011,0.2867,9.8993,-0.0009,-0.0120,0.0014
1701184911531365631,1.5606,0.2341,9.4246,0.0061,-0.0141,-0.0015
1701184911628613917,1.5116,0.1244,9.7770,0.0082,0.0124,-0.0033
1701184911728622209,1.2814,0.2581,10.4251,0.0020,-0.0047,0.0004
1701184911828638183,1.5045,0.2511,9.6365,-0.0000,-0.0076,-0.0029
1701184911928651406,1.4363,0.1824,9.4076,0.0063,0.0096,-0.0044
1701184912028726170,1.0854,0.3091,10.4327,-0.0045,-0.0006,-0.0025
1701184912128636127,1.3198,0.1102,9.4343,0.0093,-0.0125,-0.0035
1701184912228718787,1.0235,0.2641,9.5701,0.0051,0.0122,-0.0028
1701184912328657419,0.6873,0.1899,10.2552,-0.0017,-0.0025,-0.0057
1701184912428781584,0.9595,0.2017,9.1112,0.0087,-0.0008,-0.0004
1701184912528773223,0.6119,0.2934,9.9608,-0.0018,0.0082,-0.0020
1701184912628663007,0.5304,0.1335,10.0808,0.0025,-0.0035,-0.0020
1701184912728735945,0.5419,0.2512,9.6506,0.0011,0.0052,-0.0024
1701184912828663860,0.3019,0.2465,9.6314,0.0025,-0.0055,-0.0004
1701184912928715202,0.4943,0.2797,9.6000,0.0051,0.0013,-0.0004
1701184913028619703,-0.1669,0.1584,10.6431,-0.0001,0.0063,-0.0020
1701184913128627015,0.0724,0.1760,9.8711,-0.0034,0.0010,-0.0049
1701184913228592923,0.0261,0.1408,9.8863,0.0010,0.0025,-0.0018
1701184913328684432,-0.0418,0.0288,10.3219,0.0015,0.0011,-0.0031
1701184913428641281,0.1425,0.2820,9.3592,0.0032,-0.0012,-0.0069
1701184913528656506,0.1519,0.2798,10.0121,0.0029,-0.0007,-0.0046
1701184913628629523,0.2075,0.0929,9.8457,0.0046,0.0016,-0.0040
1701184913728601379,0.2337,-0.0130,9.3512,0.0071,0.0006,0.0004
1701184913828644683,0.3968,0.4138,9.9702,0.0030,-0.0025,-0.0055
1701184913928608442,0.6470,0.2765,9.7540,-0.0129,-0.0032,-0.0007
1701184914028593152,0.5460,0.0319,9.6728,0.0009,-0.0065,-0.0046
1701184914128729798,0.4184,0.0433,10.1045,-0.0037,0.0018,-0.0040
1701184914228744100,0.5197,0.1118,9.7361,0.0079,0.0093,-0.0064
1701184914328638188,0.4449,0.3055,9.7305,0.0018,0.0079,-0.0041
1701184914428674727,0.4482,0.3660,9.8041,-0.0024,0.0008,-0.0048
1701184914528642672,0.3665,0.2921,9.8353,-0.0116,0.0032,-0.0093
1701184914628635263,0.3114,0.2907,9.6636,0.0012,0.0064,-0.0068
1701184914728634956,0.4027,0.2681,9.7209,0.0062,0.0013,-0.0053
1701184914828765427,0.3307,0.3165,9.6959,-0.0013,0.0021,-0.0065
1701184914928701433,0.3069,0.1305,9.4718,-0.0007,0.0041,-0.0014
1701184915028624092,0.2337,0.2390,10.2103,0.0048,-0.0013,-0.0050
1701184915128657160,0.2451,0.4284,9.5957,-0.0000,-0.0021,-0.0118
1701184915228622482,0.3728,-0.0590,9.8289,0.0055,-0.0030,-0.0092
1701184915328601522,0.4656,0.1730,9.5747,-0.0028,0.0013,-0.0010
1701184915428612254,0.6175,0.2219,9.7406,0.0054,-0.0080,-0.0113
1701184915528620698,0.6134,0.1556,9.5517,0.0011,-0.0037,-0.0044
1701184915628619631,0.5610,0.0894,9.6396,-0.0018,0.0025,-0.0009
1701184915728643681,0.5176,0.1667,9.6173,0.0002,0.0056,-0.0008
1701184915828653308,0.4500,-0.1522,9.8273,-0.0087,-0.0004,-0.0079
1701184915928779380,0.3562,0.2035,9.4982,-0.0026,-0.0067,-0.0025
1701184916028654464,0.5935,0.2283,9.6815,-0.0086,-0.0135,0.0015
1701184916128752618,0.4808,0.1063,9.8237,0.0024,0.0076,0.0043
1701184916228637833,0.3925,-0.0370,9.7251,0.0052,0.0241,-0.0032
1701184916328808277,0.5467,0.1965,9.7301,0.0006,0.0085,0.0009
1701184916428665049,0.3466,0.4186,9.7097,0.0016,-0.0048,0.0006
1701184916528629179,0.3878,0.2249,9.7594,-0.0055,0.0008,0.0011
1701184916628686532,0.5311,-0.0309,10.2597,-0.0076,-0.0025,0.0041
1701184916728613596,0.5162,0.0238,9.3395,0.0136,0.0024,0.0009
1701184916828831941,0.3097,0.3894,10.0247,0.0050,0.0089,-0.0100
1701184916928637044,0.5763,0.2548,10.0750,0.0071,0.0155,-0.0086
1701184917028678453,0.6136,0.1459,8.9203,-0.0031,0.0098,-0.0036
1701184917128623122,0.5005,-0.2690,10.1620,-0.0071,-0.0100,-0.0011
1701184917228602611,0.3686,0.4225,10.8436,-0.0016,-0.0097,-0.0069
1701184917328597727,0.4150,0.0808,9.9969,-0.0005,-0.0068,-0.0074
1701184917428605351,0.5755,0.2990,9.7524,0.0037,0.0030,-0.0061
1701184917528577932,0.4807,0.2552,9.4277,0.0020,-0.0050,-0.0055
1701184917628609556,0.2865,0.3868,9.3681,0.0054,-0.0150,-0.0071
1701184917728626849,0.5034,0.1696,10.1574,-0.0001,-0.0150,-0.0043
1701184917828632182,0.6139,0.7908,9.2085,0.0011,-0.0128,-0.0087
1701184917928643958,0.6384,-0.1473,9.2900,-0.0048,-0.0062,-0.0060
1701184918028725510,0.9936,0.1737,9.7206,0.0060,-0.0058,-0.0093
1701184918128638527,1.2897,0.2856,9.7139,0.0001,0.0008,-0.0128
1701184918228610504,1.4719,0.0230,9.5837,-0.0063,-0.0001,-0.0083
1701184918328797715,1.3233,0.2184,10.0371,-0.0174,-0.0106,-0.0036
1701184918428629708,1.3628,0.1300,9.7980,-0.0128,0.0068,-0.0047
1701184918528773716,1.3269,0.1102,9.9362,-0.0121,0.0117,-0.0071
1701184918628751413,1.3479,0.0423,9.8468,-0.0048,0.0116,-0.0033
1701184918728767629,1.4307,0.2490,9.5206,0.0000,-0.0068,0.0002
1701184918828903345,1.3380,0.3529,9.4456,-0.0115,-0.0134,-0.0015
1701184918928665658,1.3516,-0.2132,10.2021,-0.0094,0.0066,-0.0014
1701184919028672599,1.3577,0.3285,9.6186,-0.0081,0.0093,-0.0031
1701184919128657804,1.3355,-0.1095,10.3180,-0.0033,0.0047,-0.0018
1701184919228633791,1.3722,0.4572,8.9949,-0.0217,0.0027,0.0001
1701184919328647285,1.3052,0.2585,9.5308,0.0024,-0.0006,-0.0010
1701184919428648813,1.3131,-0.0232,10.1180,-0.0164,0.0182,-0.0053
1701184919528644481,1.4198,-0.0804,10.0144,-0.0039,0.0057,-0.0041
1701184919628647766,1.2995,-0.0299,9.2903,-0.0037,0.0036,-0.0031
1701184919728643848,1.3394,0.1294,10.4166,0.0027,0.0066,-0.0119
1701184919828594584,1.4568,-0.0213,9.7081,-0.0029,0.0056,-0.0092
1701184919928666723,1.4799,0.2302,10.2945,0.0097,-0.0107,-0.0037
1701184920028732693,1.1149,0.0054,10.2104,0.0146,-0.0072,-0.0005
1701184920128626423,1.1911,0.2503,9.6005,-0.0003,0.0010,-0.0033
1701184920228736726,1.4255,-0.3753,10.8651,0.0239,0.0028,-0.0036
1701184920328722507,1.2755,0.0759,9.9954,0.0004,-0.0004,0.0007
1701184920428728174,1.0877,0.2316,9.7175,-0.0248,0.0405,0.0019
1701184920528791016,1.4117,-0.0554,8.3486,-0.0092,-0.0030,-0.0079
1701184920628684369,1.2920,0.1044,10.5527,-0.0099,-0.0107,-0.0004
1701184920728752983,1.3952,0.4965,9.1120,0.0218,-0.0075,-0.0067
1701184920828657303,0.9537,0.3974,8.9294,0.0025,-0.0307,-0.0133
1701184920928633170,1.4028,-0.0835,11.3857,-0.0031,0.0045,-0.0070
1701184921028671333,0.9908,0.2048,9.6909,-0.0064,-0.0042,-0.0123
1701184921128660094,0.8647,-0.3133,9.0440,0.0175,0.0034,-0.0150
1701184921228645406,0.5660,0.0406,9.4308,0.0252,0.0177,-0.0105
1701184921328642240,0.6292,0.5324,9.0647,0.0255,0.0182,-0.0172
1701184921428645113,0.3627,-0.0696,10.3949,0.0098,0.0039,-0.0208
1701184921528638497,0.8381,0.1183,9.8351,0.0097,0.0189,-0.0247
1701184921628616695,0.6617,0.1032,9.4293,0.0131,0.0186,-0.0270
1701184921728607377,0.5057,-0.2244,10.1333,0.0229,-0.0065,-0.0268
1701184921828658096,0.5889,-0.0343,9.0438,0.0122,-0.0106,-0.0273
1701184921928639003,0.4638,0.1106,10.2500,0.0128,-0.0054,-0.0290
1701184922028615099,0.4755,0.0529,9.3539,0.0062,-0.0031,-0.0232
1701184922128741872,0.6791,0.0284,10.2734,0.0077,-0.0064,-0.0227
1701184922228816325,0.7350,-0.2490,10.1269,0.0013,-0.0097,-0.0196
1701184922328596512,0.8800,0.0240,9.8657,0.0085,-0.0040,-0.0200
1701184922428776769,0.9644,0.3006,9.6282,0.0050,-0.0193,-0.0214
1701184922528676150,0.9107,-0.1243,9.5149,0.0088,-0.0013,-0.0217
1701184922628677657,0.9197,-0.0806,10.4120,-0.0189,0.0063,-0.0208
1701184922728803459,0.9013,-0.3364,9.3972,-0.0014,-0.0120,-0.0208
1701184922828701548,0.8347,-0.3502,10.3353,-0.0074,-0.0159,-0.0200
1701184922928779814,1.0217,0.0897,9.0740,-0.0154,-0.0129,-0.0217
1701184923028709565,0.9258,-0.0328,9.2981,-0.0020,0.0201,-0.0265
1701184923128721397,0.8203,-0.0085,10.0235,-0.0029,0.0344,-0.0204
1701184923228671338,0.7235,-0.1613,9.4649,0.0007,0.0144,-0.0184
1701184923328630833,0.7703,0.0273,8.6860,-0.0103,0.0027,-0.0269
1701184923428645876,0.6361,0.3170,10.0224,-0.0118,-0.0259,-0.0172
1701184923528643871,0.6185,-0.0821,10.6433,-0.0061,-0.0056,-0.0224
1701184923628647317,0.8644,0.2036,10.1698,0.0098,0.0341,-0.0202
1701184923728618195,0.7185,0.3298,9.6861,-0.0095,0.0330,-0.0180
1701184923828620238,0.6776,0.1948,8.8535,-0.0016,0.0286,-0.0228
1701184923928665502,0.6942,0.0391,10.1077,0.0162,0.0010,-0.0232
1701184924028613993,0.4990,0.3252,10.5322,0.0067,-0.0241,-0.0197
1701184924128695649,0.7633,-0.3419,10.2374,0.0176,-0.0239,-0.0218
1701184924228675558,0.7956,0.0289,10.2500,0.0060,-0.0077,-0.0184
1701184924328776142,0.4444,-0.2749,8.8563,-0.0005,0.0040,-0.0194
1701184924428753648,0.7443,0.1006,9.4635,-0.0036,0.0155,-0.0172
1701184924528659586,0.6395,0.2810,9.1767,0.0138,-0.0131,-0.0179
1701184924628684440,0.6353,-0.4796,10.1914,0.0055,-0.0025,-0.0190
1701184924728640447,0.6432,-0.1533,10.5333,0.0065,-0.0043,-0.0145
1701184924828657489,0.5054,0.0518,10.7664,-0.0055,0.0090,-0.0173
1701184924928636576,0.6537,0.2676,10.0708,-0.0086,-0.0041,-0.0141
1701184925028628625,0.6400,-0.5087,9.7813,0.0040,0.0130,-0.0155
1701184925128638142,0.7458,-0.1172,9.5027,0.0012,0.0030,-0.0131
1701184925228757594,0.8713,-0.2531,9.5972,-0.0130,0.0158,-0.0168
1701184925328620919,0.6608,0.0593,9.9572,-0.0025,0.0109,-0.0118
1701184925428604903,0.3710,0.1553,8.6931,0.0112,-0.0031,-0.0141
1701184925528617477,0.7248,0.1570,10.0209,0.0164,-0.0091,-0.0135
1701184925628643568,0.3898,0.2603,9.3785,-0.0001,-0.0027,-0.0172
1701184925728644393,0.6374,0.2764,9.1538,0.0029,-0.0177,-0.0149
1701184925828614825,0.7892,0.1920,9.8697,-0.0233,-0.0091,-0.0145
1701184925928617025,0.9904,0.0164,8.6032,0.0262,0.0212,-0.0167
1701184926028744015,0.8610,0.1737,9.7627,0.0003,0.0210,-0.0128
1701184926128758923,0.6088,-0.1756,9.6961,0.0020,-0.0259,-0.0154
1701184926228677684,0.1634,-0.7287,7.6850,0.0346,-0.0409,-0.0149
1701184926328724954,0.1249,-0.1005,13.6465,-0.0112,0.0292,-0.0113
1701184926428654496,0.2087,-0.1393,11.4221,-0.0023,0.0113,-0.0243
1701184926528672437,0.1682,-0.2413,10.7243,-0.0047,0.0291,-0.0228
1701184926628680285,0.2938,-0.2495,11.0937,0.0138,-0.0235,-0.0175
1701184926728737160,0.3035,0.4771,7.8746,0.0056,-0.0366,-0.0226
1701184926828747489,0.5965,-0.0753,10.1673,0.0151,-0.0178,-0.0215
1701184926928675329,0.3728,0.1939,9.2920,-0.0005,0.0013,-0.0171
1701184927028656494,0.3953,0.2789,11.3922,-0.0158,0.0131,-0.0228
1701184927128610957,0.5340,-0.3576,9.9019,0.0044,0.0048,-0.0243
1701184927228594072,0.5571,0.0716,8.3664,-0.0165,0.0092,-0.0258
1701184927328606292,0.1500,-0.2711,10.2724,-0.0018,-0.0030,-0.0243
1701184927428656187,0.2922,0.0457,8.7798,-0.0026,0.0113,-0.0240
1701184927528755709,0.2812,-0.3541,10.3078,-0.0023,-0.0058,-0.0223
1701184927628668973,0.1988,0.0638,9.0774,0.0143,-0.0178,-0.0218
1701184927728645513,0.1851,-0.0471,9.1318,-0.0276,-0.0037,-0.0190
1701184927828609234,0.3745,-0.1862,10.9634,0.0086,0.0029,-0.0250
1701184927928643170,0.0512,-0.0851,9.8405,-0.0089,0.0086,-0.0216
1701184928028677910,0.3270,0.3033,9.4206,0.0013,0.0188,-0.0275
1701184928128641733,0.2789,-0.5412,9.3072,0.0134,0.0086,-0.0226
1701184928228658191,0.2457,-0.5413,8.0067,0.0138,-0.0061,-0.0249
1701184928328774979,0.1180,-0.6244,10.0331,0.0278,-0.0236,-0.0261
1701184928428719006,0.3738,0.1360,8.0239,-0.0149,-0.0357,-0.0253
1701184928528754151,0.3174,-0.3375,10.2960,0.0166,0.0006,-0.0225
1701184928628641605,0.2390,0.2399,8.8457,0.0137,0.0242,-0.0229
1701184928728732778,0.2318,0.3654,8.5813,-0.0021,0.0071,-0.0278
1701184928828677413,0.1981,-0.3616,9.6200,0.0440,-0.0387,-0.0225
1701184928928645073,0.3138,0.0421,10.4683,-0.0012,-0.0364,-0.0210
1701184929028655219,0.0533,-0.3874,9.0495,0.0007,0.0018,-0.0255
1701184929128645095,0.2296,-1.1088,10.9472,-0.0302,0.0151,-0.0244
1701184929228603649,0.3594,-0.2556,8.0936,0.0169,-0.0056,-0.0284
1701184929328604843,0.4046,-0.3107,8.8143,-0.0246,0.0112,-0.0188
1701184929428636205,0.1416,0.1338,10.9804,-0.0015,0.0361,-0.0249
1701184929528657401,0.2553,-0.3633,9.7408,-0.0148,0.0097,-0.0220
1701184929628655637,0.0905,-0.0055,8.8095,-0.0179,-0.0060,-0.0275
1701184929728643902,0.4228,-0.2998,9.2879,-0.0029,0.0201,-0.0251
1701184929828631238,0.2077,0.5929,10.5625,0.0093,0.0375,-0.0209
1701184929928657446,0.0532,-0.1227,8.9740,-0.0032,0.0265,-0.0275
1701184930028717611,0.1784,-0.1130,9.5895,0.0049,-0.0026,-0.0295
1701184930128714821,0.0060,-0.2238,10.0016,-0.0025,-0.0248,-0.0211
