UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701184513328650260,-0.1444,-0.3348,9.9953,0.0030,0.0052,0.0004
1701184513428611982,0.0064,-0.1907,9.5847,0.0017,0.0019,0.0020
1701184513528633667,-0.1357,-0.3154,9.8878,-0.0012,0.0026,0.0010
1701184513628611509,0.0808,-0.2021,9.5876,0.0028,0.0027,0.0002
1701184513728575474,-0.0895,-0.3091,9.9505,0.0005,0.0032,0.0006
1701184513828579921,0.0504,-0.1933,9.6402,0.0010,0.0003,0.0009
1701184513928639646,-0.0250,-0.3401,9.8383,0.0006,0.0015,-0.0025
1701184514028653885,0.0791,-0.2904,9.7847,0.0045,-0.0037,0.0007
1701184514128622707,0.0286,-0.2486,9.8156,0.0025,0.0012,0.0025
1701184514228836825,-0.0807,-0.2592,9.9123,0.0006,-0.0031,0.0048
1701184514328641738,0.0776,-0.1081,9.6231,-0.0020,-0.0005,0.0056
1701184514428807201,0.0148,-0.3403,10.1284,-0.0000,-0.0010,0.0038
1701184514529098191,-0.0010,-0.3238,9.7348,-0.0020,0.0055,0.0018
1701184514628686680,-0.1591,-0.4376,10.1003,0.0045,0.0027,-0.0016
1701184514728983663,0.0112,-0.0859,9.6663,0.0013,-0.0016,0.0019
1701184514828663219,-0.1319,-0.3453,10.1601,-0.0012,-0.0010,0.0022
1701184514928651997,0.0396,-0.2141,9.5261,-0.0009,0.0057,0.0009
1701184515028658004,-0.1416,-0.3177,9.8952,0.0025,0.0077,0.0028
1701184515128626001,0.0452,-0.1414,9.7780,0.0061,0.0000,-0.0011
1701184515228629248,-0.0690,-0.2887,10.0013,-0.0039,0.0066,0.0018
1701184515328618568,0.0203,-0.2828,9.5851,0.0006,0.0000,-0.0000
1701184515428622263,0.0019,-0.3250,9.8276,-0.0003,0.0042,0.0003
1701184515528618150,0.0495,-0.2439,9.8293,0.0022,-0.0014,0.0015
1701184515628620406,-0.0120,-0.3223,9.8040,0.0020,0.0036,0.0034
1701184515728637452,-0.0237,-0.1315,9.7653,0.0040,-0.0081,0.0042
1701184515828593232,0.1046,-0.2867,9.9318,-0.0041,0.0012,-0.0014
1701184515928591514,0.0617,-0.2816,10.1201,0.0009,0.0018,0.0029
1701184516028622574,-0.1207,-0.2594,9.9483,0.0056,-0.0029,0.0040
1701184516128764634,-0.1327,-0.2721,9.9504,-0.0007,-0.0049,0.0004
1701184516228907404,-0.0228,-0.1747,9.5815,-0.0026,0.0037,0.0055
1701184516328669966,-0.0844,-0.4738,10.7591,-0.0040,0.0056,0.0029
1701184516428969590,-0.0930,-0.3658,8.7800,0.0110,0.0034,0.0034
1701184516528670710,-0.1489,-0.0817,9.9796,0.0005,0.0035,0.0015
1701184516628614841,0.1640,-0.3109,10.6854,0.0072,0.0009,0.0021
1701184516728653459,-0.2492,-0.4385,9.5870,0.0121,0.0135,0.0077
1701184516828639193,-0.0137,-0.0406,9.4974,0.0076,0.0038,-0.0000
1701184516928763901,0.0719,-0.2878,9.8944,-0.0070,0.0075,-0.0038
1701184517028621260,0.0298,-0.3964,9.6624,0.0047,-0.0023,0.0070
1701184517128727611,0.0031,-0.1241,9.8576,0.0067,0.0108,0.0028
1701184517228618502,-0.0595,-0.3181,9.8275,-0.0032,-0.0039,-0.0019
1701184517328598926,0.0946,-0.2081,9.5162,0.0010,0.0030,0.0059
1701184517428609342,0.0024,-0.1638,10.2137,0.0008,0.0007,0.0035
1701184517528644899,-0.0897,-0.2674,9.6943,-0.0043,0.0030,-0.0001
1701184517628604695,-0.1577,-0.3180,9.9404,0.0033,-0.0045,0.0040
1701184517728616164,0.0046,-0.1286,9.8362,0.0009,0.0048,0.0031
1701184517828618885,-0.1840,-0.3292,10.0449,-0.0054,0.0026,0.0004
1701184517928671569,-0.0537,-0.2739,9.4991,0.0060,0.0038,0.0028
1701184518028640164,-0.1385,-0.2164,10.0095,0.0030,-0.0019,0.0023
1701184518128806567,0.0757,-0.1584,9.5099,0.0056,-0.0005,-0.0005
1701184518228590343,-0.1194,-0.3032,9.9875,0.0009,0.0055,-0.0007
1701184518328733185,0.0213,-0.2450,9.5867,0.0091,-0.0051,0.0013
1701184518428696427,-0.0114,-0.2270,9.7461,0.0038,0.0030,0.0004
1701184518528660835,0.0230,-0.2578,9.8751,0.0034,-0.0053,0.0014
1701184518628704068,-0.0068,-0.1222,10.0394,0.0025,0.0006,0.0053
1701184518728668935,0.0043,-0.2578,9.3980,-0.0034,-0.0107,0.0012
1701184518828775539,-0.0133,-0.2779,9.8909,0.0001,0.0005,0.0031
1701184518928652970,-0.0890,-0.2635,10.4693,0.0037,-0.0044,0.0026
